Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
119;-52847;-52847;-52847;0;0;0;0.0263936;0.0263936;0.0263936;
119;-52776;-52776;-52776;90;90;90;-0.0923774;-0.0923774;-0.0923774;
117;-52478;-52478;-52478;90;90;90;-0.303526;-0.303526;-0.303526;
115;-51918;-51918;-51918;210;210;210;-0.310124;-0.310124;-0.310124;
116;-50719;-50719;-50719;210;210;210;-0.16496;-0.16496;-0.16496;
119;-50079;-50079;-50079;270;270;270;-0.0989758;-0.0989758;-0.0989758;
116;-48829;-48829;-48829;240;240;240;-0.125369;-0.125369;-0.125369;
118;-47940;-47940;-47940;210;210;210;-0.263936;-0.263936;-0.263936;
119;-47211;-47211;-47211;210;210;210;-0.303526;-0.303526;-0.303526;
123;-46134;-46134;-46134;210;210;210;-0.257337;-0.257337;-0.257337;
115;-45344;-45344;-45344;270;270;270;-0.250739;-0.250739;-0.250739;
119;-44250;-44250;-44250;240;240;240;-0.323321;-0.323321;-0.323321;
123;-43214;-43214;-43214;240;240;240;-0.230944;-0.230944;-0.230944;
123;-42328;-42328;-42328;210;210;210;-0.171558;-0.171558;-0.171558;
122;-40998;-40998;-40998;270;270;270;-0.250739;-0.250739;-0.250739;
122;-40533;-40533;-40533;240;240;240;-0.323321;-0.323321;-0.323321;
122;-39389;-39389;-39389;210;210;210;-0.395903;-0.395903;-0.395903;
123;-38809;-38809;-38809;240;240;240;-0.349715;-0.349715;-0.349715;
124;-37603;-37603;-37603;270;270;270;-0.217747;-0.217747;-0.217747;
119;-36548;-36548;-36548;240;240;240;-0.16496;-0.16496;-0.16496;
121;-35375;-35375;-35375;270;270;270;-0.197952;-0.197952;-0.197952;
122;-34553;-34553;-34553;240;240;240;-0.138566;-0.138566;-0.138566;
122;-33352;-33352;-33352;240;240;240;-0.171558;-0.171558;-0.171558;
114;-32434;-32434;-32434;210;210;210;-0.270534;-0.270534;-0.270534;
115;-31561;-31561;-31561;270;270;270;-0.263936;-0.263936;-0.263936;
118;-30661;-30661;-30661;210;210;210;-0.290329;-0.290329;-0.290329;
121;-29698;-29698;-29698;210;210;210;-0.277132;-0.277132;-0.277132;
119;-28712;-28712;-28712;240;240;240;-0.211148;-0.211148;-0.211148;
120;-28074;-28074;-28074;240;240;240;-0.16496;-0.16496;-0.16496;
118;-27139;-27139;-27139;240;240;240;-0.217747;-0.217747;-0.217747;
121;-25739;-25739;-25739;300;300;300;-0.112173;-0.112173;-0.112173;
123;-24593;-24593;-24593;180;180;180;-0.178156;-0.178156;-0.178156;
122;-23842;-23842;-23842;240;240;240;-0.303526;-0.303526;-0.303526;
119;-22994;-22994;-22994;270;270;270;-0.455289;-0.455289;-0.455289;
120;-22387;-22387;-22387;270;270;270;-0.310124;-0.310124;-0.310124;
121;-20885;-20885;-20885;210;210;210;-0.197952;-0.197952;-0.197952;
118;-20289;-20289;-20289;210;210;210;-0.277132;-0.277132;-0.277132;
119;-19327;-19327;-19327;210;210;210;-0.263936;-0.263936;-0.263936;
121;-18399;-18399;-18399;240;240;240;-0.237542;-0.237542;-0.237542;
122;-17383;-17383;-17383;240;240;240;-0.16496;-0.16496;-0.16496;
118;-16377;-16377;-16377;270;270;270;-0.184755;-0.184755;-0.184755;
115;-15408;-15408;-15408;240;240;240;-0.211148;-0.211148;-0.211148;
114;-14455;-14455;-14455;240;240;240;-0.263936;-0.263936;-0.263936;
115;-13596;-13596;-13596;240;240;240;-0.131968;-0.131968;-0.131968;
118;-12609;-12609;-12609;180;180;180;-0.178156;-0.178156;-0.178156;
119;-11693;-11693;-11693;180;180;180;-0.230944;-0.230944;-0.230944;
145;-10748;-10748;-10748;240;240;240;-0.197952;-0.197952;-0.197952;
137;-9465;-9465;-9465;240;240;240;-0.184755;-0.184755;-0.184755;
115;-8522;-8522;-8522;240;240;240;-0.263936;-0.263936;-0.263936;
121;-7649;-7649;-7649;210;210;210;-0.250739;-0.250739;-0.250739;
122;-7071;-7071;-7071;180;180;180;-0.250739;-0.250739;-0.250739;
135;-5889;-5889;-5889;180;180;180;-0.224345;-0.224345;-0.224345;
124;-4690;-4690;-4690;150;150;150;-0.197952;-0.197952;-0.197952;
124;-3944;-3944;-3944;180;180;180;-0.237542;-0.237542;-0.237542;
127;-3331;-3331;-3331;270;270;270;-0.237542;-0.237542;-0.237542;
117;-1881;-1881;-1881;210;210;210;-0.178156;-0.178156;-0.178156;
115;-1420;-1420;-1420;240;240;240;-0.191353;-0.191353;-0.191353;
117;-449;-449;-449;240;240;240;-0.230944;-0.230944;-0.230944;
114;715;715;715;210;210;210;-0.36951;-0.36951;-0.36951;
115;1577;1577;1577;270;270;270;-0.362911;-0.362911;-0.362911;
124;2376;2376;2376;270;270;270;-0.24414;-0.24414;-0.24414;
124;3148;3148;3148;240;240;240;-0.257337;-0.257337;-0.257337;
123;4212;4212;4212;270;270;270;-0.24414;-0.24414;-0.24414;
123;5574;5574;5574;240;240;240;-0.197952;-0.197952;-0.197952;
123;6443;6443;6443;240;240;240;-0.0725823;-0.0725823;-0.0725823;
123;7703;7703;7703;240;240;240;-0.0659839;-0.0659839;-0.0659839;
116;8261;8261;8261;180;180;180;-0.290329;-0.290329;-0.290329;
124;9306;9306;9306;210;210;210;-0.36951;-0.36951;-0.36951;
121;10100;10100;10100;210;210;210;-0.230944;-0.230944;-0.230944;
124;11242;11242;11242;270;270;270;-0.237542;-0.237542;-0.237542;
117;12209;12209;12209;240;240;240;-0.237542;-0.237542;-0.237542;
115;13009;13009;13009;300;300;300;-0.290329;-0.290329;-0.290329;
116;13836;13836;13836;300;300;300;-0.197952;-0.197952;-0.197952;
119;15352;15352;15352;240;240;240;-0.131968;-0.131968;-0.131968;
118;16208;16208;16208;270;270;270;-0.277132;-0.277132;-0.277132;
118;17104;17104;17104;240;240;240;-0.323321;-0.323321;-0.323321;
119;18046;18046;18046;240;240;240;-0.230944;-0.230944;-0.230944;
118;18838;18838;18838;60;60;60;-0.0263936;-0.0263936;-0.0263936;
116;18927;18927;18927;-60;-60;-60;0.118771;0.118771;0.118771;
116;18729;18729;18729;-30;-30;-30;0.178156;0.178156;0.178156;
115;18464;18464;18464;-60;-60;-60;0.24414;0.24414;0.24414;
116;18023;18023;18023;-150;-150;-150;0.0923774;0.0923774;0.0923774;
122;17502;17502;17502;-180;-180;-180;0.151763;0.151763;0.151763;
122;16860;16860;16860;-120;-120;-120;0.125369;0.125369;0.125369;
114;16414;16414;16414;-150;-150;-150;0.151763;0.151763;0.151763;
118;15845;15845;15845;-180;-180;-180;0.191353;0.191353;0.191353;
119;15480;15480;15480;-90;-90;-90;0.20455;0.20455;0.20455;
122;14810;14810;14810;-150;-150;-150;0.191353;0.191353;0.191353;
122;14186;14186;14186;-150;-150;-150;0.283731;0.283731;0.283731;
121;13709;13709;13709;-120;-120;-120;0.303526;0.303526;0.303526;
119;13476;13476;13476;-60;-60;-60;0.283731;0.283731;0.283731;
119;12785;12785;12785;-120;-120;-120;0.263936;0.263936;0.263936;
120;12334;12334;12334;-180;-180;-180;0.211148;0.211148;0.211148;
119;11715;11715;11715;-90;-90;-90;0.217747;0.217747;0.217747;
118;11228;11228;11228;-150;-150;-150;0.16496;0.16496;0.16496;
116;10821;10821;10821;-120;-120;-120;0.158361;0.158361;0.158361;
148;10308;10308;10308;-120;-120;-120;0.191353;0.191353;0.191353;
115;9800;9800;9800;-120;-120;-120;0.16496;0.16496;0.16496;
116;9256;9256;9256;-150;-150;-150;0.0593855;0.0593855;0.0593855;
120;8812;8812;8812;-150;-150;-150;0.158361;0.158361;0.158361;
121;8262;8262;8262;-90;-90;-90;0.118771;0.118771;0.118771;
120;7943;7943;7943;-150;-150;-150;0.217747;0.217747;0.217747;
122;7380;7380;7380;-150;-150;-150;0.145165;0.145165;0.145165;
116;6945;6945;6945;-120;-120;-120;0.20455;0.20455;0.20455;
133;6549;6549;6549;-90;-90;-90;0.250739;0.250739;0.250739;
133;6116;6116;6116;-150;-150;-150;0.191353;0.191353;0.191353;
135;5519;5519;5519;-150;-150;-150;0.224345;0.224345;0.224345;
128;5138;5138;5138;-120;-120;-120;0.145165;0.145165;0.145165;
127;4526;4526;4526;-150;-150;-150;0.263936;0.263936;0.263936;
116;3967;3967;3967;-150;-150;-150;0.211148;0.211148;0.211148;
125;3431;3431;3431;-120;-120;-120;0.191353;0.191353;0.191353;
144;2953;2953;2953;-90;-90;-90;0.237542;0.237542;0.237542;
114;2504;2504;2504;-150;-150;-150;0.158361;0.158361;0.158361;
117;1965;1965;1965;-60;-60;-60;0.171558;0.171558;0.171558;
120;1586;1586;1586;-150;-150;-150;0.16496;0.16496;0.16496;
118;1107;1107;1107;-180;-180;-180;0.145165;0.145165;0.145165;
124;573;573;573;-180;-180;-180;0.151763;0.151763;0.151763;
122;7;7;7;-180;-180;-180;0.158361;0.158361;0.158361;
122;-295;-295;-295;-120;-120;-120;0.250739;0.250739;0.250739;
121;-961;-961;-961;-180;-180;-180;0.250739;0.250739;0.250739;
114;-1311;-1311;-1311;-120;-120;-120;0.237542;0.237542;0.237542;
120;-1839;-1839;-1839;-150;-150;-150;0.184755;0.184755;0.184755;
120;-2274;-2274;-2274;-60;-60;-60;0.250739;0.250739;0.250739;
120;-2728;-2728;-2728;-120;-120;-120;0.178156;0.178156;0.178156;
114;-3220;-3220;-3220;-120;-120;-120;0.217747;0.217747;0.217747;
114;-3637;-3637;-3637;-150;-150;-150;0.1253
