Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
117;-34745;-34745;-34745;0;0;0;0.0197952;0.0197952;0.0197952;
115;-34744;-34744;-34744;0;0;0;-0.0263936;-0.0263936;-0.0263936;
117;-34249;-34249;-34249;210;210;210;-0.461887;-0.461887;-0.461887;
116;-33107;-33107;-33107;360;360;360;-0.290329;-0.290329;-0.290329;
117;-31588;-31588;-31588;390;390;390;-0.197952;-0.197952;-0.197952;
116;-30664;-30664;-30664;360;360;360;-0.310124;-0.310124;-0.310124;
126;-29030;-29030;-29030;360;360;360;-0.323321;-0.323321;-0.323321;
123;-27270;-27270;-27270;420;420;420;-0.362911;-0.362911;-0.362911;
121;-25684;-25684;-25684;480;480;480;-0.197952;-0.197952;-0.197952;
116;-24067;-24067;-24067;390;390;390;-0.237542;-0.237542;-0.237542;
114;-22506;-22506;-22506;360;360;360;-0.336518;-0.336518;-0.336518;
117;-21726;-21726;-21726;450;450;450;-0.270534;-0.270534;-0.270534;
117;-19641;-19641;-19641;390;390;390;-0.230944;-0.230944;-0.230944;
119;-18015;-18015;-18015;480;480;480;-0.24414;-0.24414;-0.24414;
117;-16366;-16366;-16366;420;420;420;-0.118771;-0.118771;-0.118771;
120;-14807;-14807;-14807;360;360;360;-0.211148;-0.211148;-0.211148;
116;-13761;-13761;-13761;420;420;420;-0.197952;-0.197952;-0.197952;
115;-11992;-11992;-11992;390;390;390;-0.303526;-0.303526;-0.303526;
122;-10197;-10197;-10197;420;420;420;-0.224345;-0.224345;-0.224345;
122;-8949;-8949;-8949;360;360;360;-0.224345;-0.224345;-0.224345;
122;-7250;-7250;-7250;390;390;390;-0.44869;-0.44869;-0.44869;
122;-5796;-5796;-5796;420;420;420;-0.283731;-0.283731;-0.283731;
118;-4472;-4472;-4472;390;390;390;-0.237542;-0.237542;-0.237542;
121;-2639;-2639;-2639;420;420;420;-0.217747;-0.217747;-0.217747;
114;-965;-965;-965;390;390;390;-0.16496;-0.16496;-0.16496;
115;557;557;557;360;360;360;-0.257337;-0.257337;-0.257337;
121;2032;2032;2032;330;330;330;-0.376108;-0.376108;-0.376108;
147;3869;3869;3869;450;450;450;-0.171558;-0.171558;-0.171558;
115;4970;4970;4970;390;390;390;-0.211148;-0.211148;-0.211148;
122;7157;7157;7157;390;390;390;-0.0593855;-0.0593855;-0.0593855;
121;8738;8738;8738;420;420;420;-0.316723;-0.316723;-0.316723;
122;10215;10215;10215;390;390;390;-0.323321;-0.323321;-0.323321;
122;11818;11818;11818;420;420;420;-0.217747;-0.217747;-0.217747;
120;13401;13401;13401;390;390;390;-0.250739;-0.250739;-0.250739;
122;15424;15424;15424;390;390;390;-0.158361;-0.158361;-0.158361;
120;16807;16807;16807;450;450;450;-0.336518;-0.336518;-0.336518;
116;18465;18465;18465;420;420;420;-0.270534;-0.270534;-0.270534;
121;19415;19415;19415;330;330;330;-0.0263936;-0.0263936;-0.0263936;
116;19849;19849;19849;-120;-120;-120;0.422297;0.422297;0.422297;
120;18926;18926;18926;-330;-330;-330;0.257337;0.257337;0.257337;
115;18007;18007;18007;-360;-360;-360;0.296927;0.296927;0.296927;
116;16136;16136;16136;-360;-360;-360;0.277132;0.277132;0.277132;
120;14762;14762;14762;-360;-360;-360;0.356313;0.356313;0.356313;
122;13560;13560;13560;-420;-420;-420;0.382707;0.382707;0.382707;
121;12029;12029;12029;-420;-420;-420;0.303526;0.303526;0.303526;
123;10308;10308;10308;-330;-330;-330;0.303526;0.303526;0.303526;
122;9331;9331;9331;-330;-330;-330;0.250739;0.250739;0.250739;
124;7678;7678;7678;-360;-360;-360;0.296927;0.296927;0.296927;
117;6175;6175;6175;-300;-300;-300;0.428895;0.428895;0.428895;
123;4740;4740;4740;-390;-390;-390;0.389305;0.389305;0.389305;
123;3457;3457;3457;-390;-390;-390;0.362911;0.362911;0.362911;
124;1667;1667;1667;-360;-360;-360;0.343116;0.343116;0.343116;
127;144;144;144;-360;-360;-360;0.303526;0.303526;0.303526;
115;-1215;-1215;-1215;-330;-330;-330;0.514674;0.514674;0.514674;
122;-2585;-2585;-2585;-360;-360;-360;0.534469;0.534469;0.534469;
121;-4057;-4057;-4057;-330;-330;-330;0.402502;0.402502;0.402502;
122;-5529;-5529;-5529;-450;-450;-450;0.44869;0.44869;0.44869;
121;-7339;-7339;-7339;-360;-360;-360;0.310124;0.310124;0.310124;
121;-8875;-8875;-8875;-330;-330;-330;0.323321;0.323321;0.323321;
119;-10261;-10261;-10261;-360;-360;-360;0.455289;0.455289;0.455289;
123;-11666;-11666;-11666;-360;-360;-360;0.44869;0.44869;0.44869;
121;-13214;-13214;-13214;-360;-360;-360;0.422297;0.422297;0.422297;
119;-14467;-14467;-14467;-360;-360;-360;0.494879;0.494879;0.494879;
119;-16236;-16236;-16236;-390;-390;-390;0.395903;0.395903;0.395903;
117;-16954;-16954;-16954;-360;-360;-360;0.428895;0.428895;0.428895;
121;-19314;-19314;-19314;-420;-420;-420;0.197952;0.197952;0.197952;
121;-20885;-20885;-20885;-360;-360;-360;0.24414;0.24414;0.24414;
120;-21846;-21846;-21846;-330;-330;-330;0.24414;0.24414;0.24414;
122;-23333;-23333;-23333;-360;-360;-360;0.197952;0.197952;0.197952;
124;-25275;-25275;-25275;-360;-360;-360;0.270534;0.270534;0.270534;
119;-26464;-26464;-26464;-360;-360;-360;0.36951;0.36951;0.36951;
114;-28190;-28190;-28190;-360;-360;-360;0.323321;0.323321;0.323321;
114;-29478;-29478;-29478;-390;-390;-390;0.389305;0.389305;0.389305;
115;-31366;-31366;-31366;-420;-420;-420;0.20455;0.20455;0.20455;
119;-32442;-32442;-32442;-420;-420;-420;0.310124;0.310124;0.310124;
122;-34209;-34209;-34209;-300;-300;-300;0.184755;0.184755;0.184755;
118;-34915;-34915;-34915;-30;-30;-30;0.0791807;0.0791807;0.0791807;
120;-34795;-34795;-34795;120;120;120;-0.0989758;-0.0989758;-0.0989758;
118;-33935;-33935;-33935;240;240;240;-0.24414;-0.24414;-0.24414;
121;-32831;-32831;-32831;360;360;360;-0.0989758;-0.0989758;-0.0989758;
121;-30958;-30958;-30958;300;300;300;-0.316723;-0.316723;-0.316723;
121;-29826;-29826;-29826;390;390;390;-0.16496;-0.16496;-0.16496;
120;-28297;-28297;-28297;390;390;390;-0.151763;-0.151763;-0.151763;
119;-27291;-27291;-27291;330;330;330;-0.138566;-0.138566;-0.138566;
120;-25519;-25519;-25519;390;390;390;-0.138566;-0.138566;-0.138566;
118;-24321;-24321;-24321;300;300;300;-0.145165;-0.145165;-0.145165;
122;-22531;-22531;-22531;330;330;330;-0.283731;-0.283731;-0.283731;
115;-21128;-21128;-21128;300;300;300;-0.20455;-0.20455;-0.20455;
114;-19734;-19734;-19734;360;360;360;-0.217747;-0.217747;-0.217747;
115;-18188;-18188;-18188;420;420;420;-0.125369;-0.125369;-0.125369;
115;-17141;-17141;-17141;330;330;330;-0.0725823;-0.0725823;-0.0725823;
124;-15505;-15505;-15505;330;330;330;-0.24414;-0.24414;-0.24414;
117;-14151;-14151;-14151;330;330;330;-0.16496;-0.16496;-0.16496;
122;-13156;-13156;-13156;390;390;390;-0.145165;-0.145165;-0.145165;
117;-11298;-11298;-11298;390;390;390;-0.237542;-0.237542;-0.237542;
122;-9873;-9873;-9873;390;390;390;-0.125369;-0.125369;-0.125369;
117;-8651;-8651;-8651;360;360;360;-0.145165;-0.145165;-0.145165;
114;-7083;-7083;-7083;360;360;360;-0.270534;-0.270534;-0.270534;
120;-5678;-5678;-5678;360;360;360;-0.184755;-0.184755;-0.184755;
119;-4403;-4403;-4403;390;390;390;-0.158361;-0.158361;-0.158361;
122;-2964;-2964;-2964;360;360;360;-0.211148;-0.211148;-0.211148;
122;-1223;-1223;-1223;360;360;360;-0.171558;-0.171558;-0.171558;
122;-255;-255;-255;390;390;390;-0.224345;-0.224345;-0.224345;
