Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
117;4255;4255;4255;0;0;0;0.0197952;0.0197952;0.0197952;
118;4250;4250;4250;0;0;0;0.0791807;0.0791807;0.0791807;
118;4018;4018;4018;-120;-120;-120;0.415698;0.415698;0.415698;
113;3172;3172;3172;-240;-240;-240;0.290329;0.290329;0.290329;
115;2579;2579;2579;-330;-330;-330;0.217747;0.217747;0.217747;
118;1377;1377;1377;-300;-300;-300;0.20455;0.20455;0.20455;
116;-308;-308;-308;-210;-210;-210;0.145165;0.145165;0.145165;
120;-1069;-1069;-1069;-150;-150;-150;0.125369;0.125369;0.125369;
121;-1625;-1625;-1625;-60;-60;-60;0.085779;0.085779;0.085779;
122;-1657;-1657;-1657;30;30;30;-0.0263936;-0.0263936;-0.0263936;
123;-1282;-1282;-1282;210;210;210;-0.362911;-0.362911;-0.362911;
124;-343;-343;-343;240;240;240;-0.16496;-0.16496;-0.16496;
121;733;733;733;300;300;300;-0.184755;-0.184755;-0.184755;
119;1574;1574;1574;210;210;210;-0.197952;-0.197952;-0.197952;
123;2769;2769;2769;270;270;270;-0.151763;-0.151763;-0.151763;
122;3833;3833;3833;210;210;210;-0.0989758;-0.0989758;-0.0989758;
124;4535;4535;4535;240;240;240;-0.138566;-0.138566;-0.138566;
121;5938;5938;5938;240;240;240;-0.0923774;-0.0923774;-0.0923774;
120;7001;7001;7001;270;270;270;-0.0659839;-0.0659839;-0.0659839;
120;7994;7994;7994;270;270;270;-0.224345;-0.224345;-0.224345;
114;9014;9014;9014;270;270;270;-0.217747;-0.217747;-0.217747;
117;10000;10000;10000;270;270;270;-0.178156;-0.178156;-0.178156;
121;10858;10858;10858;270;270;270;-0.131968;-0.131968;-0.131968;
120;12136;12136;12136;240;240;240;-0.118771;-0.118771;-0.118771;
114;13220;13220;13220;300;300;300;-0.197952;-0.197952;-0.197952;
115;14096;14096;14096;240;240;240;-0.105574;-0.105574;-0.105574;
117;15123;15123;15123;210;210;210;-0.112173;-0.112173;-0.112173;
119;16367;16367;16367;270;270;270;-0.184755;-0.184755;-0.184755;
119;17327;17327;17327;270;270;270;-0.118771;-0.118771;-0.118771;
116;18323;18323;18323;240;240;240;-0.270534;-0.270534;-0.270534;
116;19074;19074;19074;270;270;270;-0.178156;-0.178156;-0.178156;
115;20607;20607;20607;300;300;300;-0.125369;-0.125369;-0.125369;
142;21844;21844;21844;300;300;300;-0.0659839;-0.0659839;-0.0659839;
114;23074;23074;23074;240;240;240;-0.0923774;-0.0923774;-0.0923774;
120;23587;23587;23587;210;210;210;-0.105574;-0.105574;-0.105574;
123;24064;24064;24064;240;240;240;-0.217747;-0.217747;-0.217747;
116;26121;26121;26121;270;270;270;-0.138566;-0.138566;-0.138566;
116;26946;26946;26946;270;270;270;-0.158361;-0.158361;-0.158361;
118;27637;27637;27637;270;270;270;-0.138566;-0.138566;-0.138566;
116;28821;28821;28821;90;90;90;-0.0395903;-0.0395903;-0.0395903;
122;28877;28877;28877;-210;-210;-210;0.508076;0.508076;0.508076;
122;27422;27422;27422;-510;-510;-510;0.303526;0.303526;0.303526;
123;25557;25557;25557;-420;-420;-420;0.290329;0.290329;0.290329;
117;23776;23776;23776;-420;-420;-420;0.36951;0.36951;0.36951;
115;21925;21925;21925;-420;-420;-420;0.277132;0.277132;0.277132;
117;20480;20480;20480;-420;-420;-420;0.362911;0.362911;0.362911;
117;18791;18791;18791;-420;-420;-420;0.303526;0.303526;0.303526;
115;17092;17092;17092;-360;-360;-360;0.277132;0.277132;0.277132;
115;15960;15960;15960;-450;-450;-450;0.290329;0.290329;0.290329;
117;13736;13736;13736;-420;-420;-420;0.336518;0.336518;0.336518;
120;12893;12893;12893;-420;-420;-420;0.329919;0.329919;0.329919;
120;10149;10149;10149;-480;-480;-480;0.230944;0.230944;0.230944;
119;8306;8306;8306;-510;-510;-510;0.296927;0.296927;0.296927;
119;6821;6821;6821;-420;-420;-420;0.428895;0.428895;0.428895;
118;5360;5360;5360;-480;-480;-480;0.382707;0.382707;0.382707;
119;2823;2823;2823;-510;-510;-510;0.316723;0.316723;0.316723;
120;2487;2487;2487;-510;-510;-510;0.329919;0.329919;0.329919;
121;-1103;-1103;-1103;-420;-420;-420;0.343116;0.343116;0.343116;
121;-2586;-2586;-2586;-450;-450;-450;0.329919;0.329919;0.329919;
120;-4766;-4766;-4766;-420;-420;-420;0.257337;0.257337;0.257337;
117;-6224;-6224;-6224;-450;-450;-450;0.343116;0.343116;0.343116;
116;-8180;-8180;-8180;-510;-510;-510;0.237542;0.237542;0.237542;
119;-9944;-9944;-9944;-450;-450;-450;0.44869;0.44869;0.44869;
120;-11733;-11733;-11733;-450;-450;-450;0.442092;0.442092;0.442092;
120;-13636;-13636;-13636;-510;-510;-510;0.323321;0.323321;0.323321;
121;-14906;-14906;-14906;-510;-510;-510;0.362911;0.362911;0.362911;
119;-17527;-17527;-17527;-480;-480;-480;0.323321;0.323321;0.323321;
123;-19319;-19319;-19319;-420;-420;-420;0.435494;0.435494;0.435494;
121;-20970;-20970;-20970;-360;-360;-360;0.494879;0.494879;0.494879;
122;-22218;-22218;-22218;-300;-300;-300;0.402502;0.402502;0.402502;
121;-23362;-23362;-23362;-330;-330;-330;0.237542;0.237542;0.237542;
121;-24466;-24466;-24466;-240;-240;-240;0.191353;0.191353;0.191353;
121;-25530;-25530;-25530;-180;-180;-180;0.16496;0.16496;0.16496;
114;-26310;-26310;-26310;-210;-210;-210;0.178156;0.178156;0.178156;
118;-27233;-27233;-27233;-270;-270;-270;0.237542;0.237542;0.237542;
119;-28091;-28091;-28091;-180;-180;-180;0.263936;0.263936;0.263936;
115;-28913;-28913;-28913;-180;-180;-180;0.178156;0.178156;0.178156;
117;-29835;-29835;-29835;-240;-240;-240;0.16496;0.16496;0.16496;
121;-30836;-30836;-30836;-210;-210;-210;0.085779;0.085779;0.085779;
114;-31647;-31647;-31647;-270;-270;-270;0.105574;0.105574;0.105574;
117;-32531;-32531;-32531;-240;-240;-240;0.16496;0.16496;0.16496;
117;-33581;-33581;-33581;-210;-210;-210;0.211148;0.211148;0.211148;
113;-34018;-34018;-34018;-210;-210;-210;0.20455;0.20455;0.20455;
116;-35144;-35144;-35144;-240;-240;-240;0.250739;0.250739;0.250739;
117;-36025;-36025;-36025;-210;-210;-210;0.118771;0.118771;0.118771;
116;-36796;-36796;-36796;-240;-240;-240;0.112173;0.112173;0.112173;
116;-37656;-37656;-37656;-210;-210;-210;0.16496;0.16496;0.16496;
117;-38557;-38557;-38557;-210;-210;-210;0.118771;0.118771;0.118771;
122;-39150;-39150;-39150;-210;-210;-210;0.118771;0.118771;0.118771;
120;-40337;-40337;-40337;-210;-210;-210;0.16496;0.16496;0.16496;
121;-41171;-41171;-41171;-240;-240;-240;0.197952;0.197952;0.197952;
119;-41975;-41975;-41975;-180;-180;-180;0.250739;0.250739;0.250739;
117;-42720;-42720;-42720;-180;-180;-180;0.237542;0.237542;0.237542;
116;-43594;-43594;-43594;-210;-210;-210;0.16496;0.16496;0.16496;
120;-44401;-44401;-44401;-210;-210;-210;0.112173;0.112173;0.112173;
122;-45380;-45380;-45380;-90;-90;-90;0.085779;0.085779;0.085779;
121;-45343;-45343;-45343;210;210;210;-0.376108;-0.376108;-0.376108;
123;-43906;-43906;-43906;450;450;450;-0.230944;-0.230944;-0.230944;
117;-42642;-42642;-42642;450;450;450;-0.138566;-0.138566;-0.138566;
129;-40093;-40093;-40093;450;450;450;-0.085779;-0.085779;-0.085779;
114;-38379;-38379;-38379;420;420;420;-0.329919;-0.329919;-0.329919;
116;-36585;-36585;-36585;480;480;480;-0.224345;-0.224345;-0.224345;
120;-34659;-34659;-34659;480;480;480;-0.197952;-0.197952;-0.197952;
113;-33015;-33015;-33015;480;480;480;-0.197952;-0.197952;-0.197952;
119;-31175;-31175;-31175;390;390;390;-0.224345;-0.224345;-0.224345;
122;-29096;-29096;-29096;480;480;480;-0.217747;-0.217747;-0.217747;
121;-27579;-27579;-27579;540;540;540;-0.151763;-0.151763;-0.151763;
118;-25394;-25394;-25394;450;450;450;-0.138566;-0.138566;-0.138566;
118;-23538;-23538;-23538;450;450;450;-0.224345;-0.224345;-0.224345;
117;-21760;-21760;-21760;480;480;480;-0.270534;-0.270534;-0.270534;
134;-19914;-19914;-19914;450;450;450;-0.24414;-0.24414;-0.24414;
139;-18071;-18071;-18071;450;450;450;-0.197952;-0.197952;-0.197952;
119;-15855;-15855;-15855;450;450;450;-0.184755;-0.184755;-0.184755;
121;-14285;-14285;-14285;480;480;480;-0.217747;-0.217747;-0.217747;
123;-12044;-12044;-12044;450;450;450;-0.197952;-0.197952;-0.197952;
115;-10269;-10269;-10269;480;480;480;-0.270534;-0.270534;-0.270534;
125;-8457;-8457;-8457;450;450;450;-0.178156;-0.178156;-0.178156;
123;-6613;-6613;-6613;480;480;480;-0.197952;-0.197952;-0.197952;
125;-4716;-4716;-4716;510;510;510;-0.224345;-0.224345;-0.224345;
124;-2525;-2525;-2525;450;450;450;-0.24414;-0.24414;-0.24414;
115;-558;-558;-558;510;510;510;-0.171558;-0.171558;-0.171558;
132;1050;1050;1050;420;420;420;-0.362911;-0.362911;-0.362911;
128;2641;2641;2641;480;480;480;-0.283731;-0.283731;-0.283731;
132;4934;4934;4934;330;330;330;-0.0659839;-0.0659839;-0.0659839;
131;6261;6261;6261;300;300;300;-0.16496;-0.16496;-0.16496;
131;7461;7461;7461;270;270;270;-0.0989758;-0.0989758;-0.0989758;
127;8524;8524;8524;270;270;270;-0.125369;-0.125369;-0.125369;
119;9296;9296;9296;180;180;180;-0.178156;-0.178156;-0.178156;
120;10332;10332;10332;240;240;240;-0.131968;-0.131968;-0.131968;
116;11171;11171;11171;240;240;240;-0.118771;-0.118771;-0.118771;
115;12162;12162;12162;240;240;240;-0.138566;-0.138566;-0.138566;
112;13142;13142;13142;240;240;240;-0.0791807;-0.0791807;-0.0791807;
113;13618;13618;13618;240;240;240;-0.158361;-0.158361;-0.158361;
115;14958;14958;14958;270;270;270;-0.0461887;-0.0461887;-0.0461887;
119;15867;15867;15867;210;210;210;-0.0131968;-0.0131968;-0.0131968;
120;16707;16707;16707;210;210;210;-0.105574;-0.105574;-0.105574;
119;17492;17492;17492;210;210;210;-0.184755;-0.184755;-0.184755;
121;18255;18255;18255;270;270;270;-0.0791807;-0.0791807;-0.0791807;
120;19311;19311;19311;150;150;150;-0.085779;-0.085779;-0.085779;
119;20149;20149;20149;210;210;210;-0.085779;-0.085779;-0.085779;
121;20807;20807;20807;210;210;210;-0.178156;-0.178156;-0.178156;
121;21885;21885;21885;270;270;270;-0.0527871;-0.0527871;-0.0527871;
117;22800;22800;22800;180;180;180;-0.0461887;-0.0461887;-0.0461887;
118;23653;23653;23653;180;180;180;-0.0461887;-0.0461887;-0.0461887;
121;24337;24337;24337;180;180;180;-0.125369;-0.125369;-0.125369;
120;25335;25335;25335;210;210;210;-0.125369;-0.125369;-0.125369;
113;26139;26139;26139;240;240;240;-0.118771;-0.118771;-0.118771;
120;26921;26921;26921;270;270;270;-0.0791807;-0.0791807;-0.0791807;
