Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
131;-16250;-16250;-16250;0;0;0;0.0329919;0.0329919;0.0329919;
114;-16212;-16212;-16212;60;60;60;-0.197952;-0.197952;-0.197952;
114;-15894;-15894;-15894;120;120;120;-0.435494;-0.435494;-0.435494;
119;-15389;-15389;-15389;180;180;180;-0.323321;-0.323321;-0.323321;
114;-14675;-14675;-14675;210;210;210;-0.442092;-0.442092;-0.442092;
120;-13953;-13953;-13953;210;210;210;-0.329919;-0.329919;-0.329919;
121;-12836;-12836;-12836;210;210;210;-0.283731;-0.283731;-0.283731;
122;-11901;-11901;-11901;180;180;180;-0.277132;-0.277132;-0.277132;
130;-11167;-11167;-11167;210;210;210;-0.290329;-0.290329;-0.290329;
116;-10127;-10127;-10127;210;210;210;-0.191353;-0.191353;-0.191353;
127;-9211;-9211;-9211;180;180;180;-0.20455;-0.20455;-0.20455;
122;-8410;-8410;-8410;150;150;150;-0.230944;-0.230944;-0.230944;
116;-7662;-7662;-7662;180;180;180;-0.283731;-0.283731;-0.283731;
114;-6866;-6866;-6866;180;180;180;-0.296927;-0.296927;-0.296927;
121;-5867;-5867;-5867;210;210;210;-0.230944;-0.230944;-0.230944;
116;-5213;-5213;-5213;180;180;180;-0.217747;-0.217747;-0.217747;
120;-4528;-4528;-4528;180;180;180;-0.263936;-0.263936;-0.263936;
122;-3873;-3873;-3873;150;150;150;-0.184755;-0.184755;-0.184755;
122;-3322;-3322;-3322;150;150;150;-0.197952;-0.197952;-0.197952;
119;-2811;-2811;-2811;150;150;150;-0.224345;-0.224345;-0.224345;
119;-2247;-2247;-2247;150;150;150;-0.237542;-0.237542;-0.237542;
114;-1581;-1581;-1581;120;120;120;-0.16496;-0.16496;-0.16496;
116;-956;-956;-956;90;90;90;-0.270534;-0.270534;-0.270534;
122;-500;-500;-500;120;120;120;-0.277132;-0.277132;-0.277132;
122;-289;-289;-289;90;90;90;-0.230944;-0.230944;-0.230944;
121;317;317;317;90;90;90;-0.211148;-0.211148;-0.211148;
121;658;658;658;60;60;60;-0.250739;-0.250739;-0.250739;
122;1066;1066;1066;120;120;120;-0.224345;-0.224345;-0.224345;
119;1429;1429;1429;90;90;90;-0.131968;-0.131968;-0.131968;
116;1693;1693;1693;90;90;90;-0.118771;-0.118771;-0.118771;
120;2258;2258;2258;120;120;120;-0.118771;-0.118771;-0.118771;
123;2516;2516;2516;90;90;90;-0.138566;-0.138566;-0.138566;
121;2853;2853;2853;30;30;30;-0.085779;-0.085779;-0.085779;
121;3058;3058;3058;30;30;30;-0.145165;-0.145165;-0.145165;
121;3253;3253;3253;90;90;90;-0.125369;-0.125369;-0.125369;
123;3567;3567;3567;60;60;60;-0.0659839;-0.0659839;-0.0659839;
120;3820;3820;3820;90;90;90;-0.0923774;-0.0923774;-0.0923774;
115;4033;4033;4033;90;90;90;-0.184755;-0.184755;-0.184755;
122;4366;4366;4366;60;60;60;-0.151763;-0.151763;-0.151763;
152;4698;4698;4698;60;60;60;-0.0461887;-0.0461887;-0.0461887;
127;5018;5018;5018;60;60;60;-0.125369;-0.125369;-0.125369;
114;5383;5383;5383;120;120;120;-0.105574;-0.105574;-0.105574;
124;5636;5636;5636;120;120;120;-0.0989758;-0.0989758;-0.0989758;
