Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
154;-10641;-10641;-10641;0;0;0;0.0263936;0.0263936;0.0263936;
114;-10641;-10641;-10641;0;0;0;0.0263936;0.0263936;0.0263936;
118;-10381;-10381;-10381;60;60;60;-0.24414;-0.24414;-0.24414;
158;-9541;-9541;-9541;210;210;210;-0.118771;-0.118771;-0.118771;
115;-8693;-8693;-8693;210;210;210;-0.0659839;-0.0659839;-0.0659839;
116;-7994;-7994;-7994;210;210;210;-0.125369;-0.125369;-0.125369;
115;-7216;-7216;-7216;150;150;150;-0.131968;-0.131968;-0.131968;
119;-6444;-6444;-6444;150;150;150;-0.184755;-0.184755;-0.184755;
122;-5713;-5713;-5713;180;180;180;-0.112173;-0.112173;-0.112173;
122;-5218;-5218;-5218;180;180;180;-0.00659839;-0.00659839;-0.00659839;
122;-4371;-4371;-4371;150;150;150;-0.0725823;-0.0725823;-0.0725823;
123;-4097;-4097;-4097;30;30;30;0;0;0;
122;-4111;-4111;-4111;-60;-60;-60;0.145165;0.145165;0.145165;
122;-4672;-4672;-4672;-180;-180;-180;0.24414;0.24414;0.24414;
122;-5448;-5448;-5448;-180;-180;-180;0.211148;0.211148;0.211148;
121;-6055;-6055;-6055;-150;-150;-150;0.211148;0.211148;0.211148;
117;-6545;-6545;-6545;-210;-210;-210;0.145165;0.145165;0.145165;
125;-7321;-7321;-7321;-180;-180;-180;0.138566;0.138566;0.138566;
121;-8421;-8421;-8421;-150;-150;-150;0.151763;0.151763;0.151763;
118;-9119;-9119;-9119;-240;-240;-240;0.211148;0.211148;0.211148;
117;-9899;-9899;-9899;-240;-240;-240;0.20455;0.20455;0.20455;
116;-10620;-10620;-10620;-210;-210;-210;0.191353;0.191353;0.191353;
118;-11507;-11507;-11507;-240;-240;-240;0.197952;0.197952;0.197952;
118;-12067;-12067;-12067;-180;-180;-180;0.257337;0.257337;0.257337;
116;-13158;-13158;-13158;-210;-210;-210;0.230944;0.230944;0.230944;
114;-14001;-14001;-14001;-210;-210;-210;0.184755;0.184755;0.184755;
117;-14781;-14781;-14781;-270;-270;-270;0.0989758;0.0989758;0.0989758;
121;-15787;-15787;-15787;-210;-210;-210;0.230944;0.230944;0.230944;
119;-16387;-16387;-16387;-180;-180;-180;0.171558;0.171558;0.171558;
117;-17130;-17130;-17130;-180;-180;-180;0.138566;0.138566;0.138566;
117;-17883;-17883;-17883;-240;-240;-240;0.237542;0.237542;0.237542;
114;-18643;-18643;-18643;-180;-180;-180;0.171558;0.171558;0.171558;
118;-19389;-19389;-19389;-210;-210;-210;0.191353;0.191353;0.191353;
115;-19756;-19756;-19756;-180;-180;-180;0.151763;0.151763;0.151763;
114;-20860;-20860;-20860;-180;-180;-180;0.211148;0.211148;0.211148;
113;-21540;-21540;-21540;-180;-180;-180;0.191353;0.191353;0.191353;
115;-22105;-22105;-22105;-180;-180;-180;0.184755;0.184755;0.184755;
114;-23102;-23102;-23102;-210;-210;-210;0.171558;0.171558;0.171558;
115;-24054;-24054;-24054;-150;-150;-150;0.197952;0.197952;0.197952;
115;-24416;-24416;-24416;-180;-180;-180;0.125369;0.125369;0.125369;
116;-25402;-25402;-25402;-180;-180;-180;0.125369;0.125369;0.125369;
116;-26146;-26146;-26146;-180;-180;-180;0.145165;0.145165;0.145165;
114;-26882;-26882;-26882;-150;-150;-150;0.145165;0.145165;0.145165;
115;-27555;-27555;-27555;-180;-180;-180;0.230944;0.230944;0.230944;
113;-28135;-28135;-28135;-180;-180;-180;0.145165;0.145165;0.145165;
115;-28856;-28856;-28856;-150;-150;-150;0.125369;0.125369;0.125369;
115;-29522;-29522;-29522;-180;-180;-180;0.138566;0.138566;0.138566;
115;-30359;-30359;-30359;-240;-240;-240;0.151763;0.151763;0.151763;
115;-30867;-30867;-30867;-180;-180;-180;0.125369;0.125369;0.125369;
113;-31928;-31928;-31928;-270;-270;-270;0.277132;0.277132;0.277132;
114;-33041;-33041;-33041;-240;-240;-240;0.356313;0.356313;0.356313;
117;-34252;-34252;-34252;-300;-300;-300;0.362911;0.362911;0.362911;
114;-35578;-35578;-35578;-390;-390;-390;0.395903;0.395903;0.395903;
115;-37051;-37051;-37051;-390;-390;-390;0.263936;0.263936;0.263936;
114;-38207;-38207;-38207;-300;-300;-300;0.442092;0.442092;0.442092;
120;-39587;-39587;-39587;-330;-330;-330;0.310124;0.310124;0.310124;
133;-40928;-40928;-40928;-330;-330;-330;0.44869;0.44869;0.44869;
121;-42465;-42465;-42465;-360;-360;-360;0.534469;0.534469;0.534469;
121;-43580;-43580;-43580;-330;-330;-330;0.402502;0.402502;0.402502;
124;-44976;-44976;-44976;-360;-360;-360;0.508076;0.508076;0.508076;
121;-46614;-46614;-46614;-330;-330;-330;0.376108;0.376108;0.376108;
