Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
199;-43420;-43420;-43420;0;0;0;0.0197952;0.0197952;0.0197952;
116;-43417;-43417;-43417;30;30;30;-0.0131968;-0.0131968;-0.0131968;
123;-42834;-42834;-42834;270;270;270;-0.422297;-0.422297;-0.422297;
122;-41621;-41621;-41621;390;390;390;-0.224345;-0.224345;-0.224345;
121;-40190;-40190;-40190;390;390;390;-0.224345;-0.224345;-0.224345;
123;-38818;-38818;-38818;360;360;360;-0.303526;-0.303526;-0.303526;
121;-37338;-37338;-37338;390;390;390;-0.184755;-0.184755;-0.184755;
121;-35643;-35643;-35643;330;330;330;-0.171558;-0.171558;-0.171558;
121;-34218;-34218;-34218;330;330;330;-0.151763;-0.151763;-0.151763;
122;-33495;-33495;-33495;390;390;390;-0.178156;-0.178156;-0.178156;
122;-31466;-31466;-31466;300;300;300;-0.224345;-0.224345;-0.224345;
121;-30148;-30148;-30148;300;300;300;-0.211148;-0.211148;-0.211148;
123;-28992;-28992;-28992;360;360;360;-0.283731;-0.283731;-0.283731;
124;-27089;-27089;-27089;330;330;330;-0.138566;-0.138566;-0.138566;
118;-25945;-25945;-25945;330;330;330;-0.184755;-0.184755;-0.184755;
114;-24587;-24587;-24587;300;300;300;-0.191353;-0.191353;-0.191353;
116;-23915;-23915;-23915;300;300;300;-0.178156;-0.178156;-0.178156;
117;-22336;-22336;-22336;330;330;330;-0.224345;-0.224345;-0.224345;
122;-20636;-20636;-20636;390;390;390;-0.151763;-0.151763;-0.151763;
114;-19208;-19208;-19208;360;360;360;-0.217747;-0.217747;-0.217747;
117;-18248;-18248;-18248;390;390;390;-0.250739;-0.250739;-0.250739;
115;-16309;-16309;-16309;360;360;360;-0.217747;-0.217747;-0.217747;
132;-14952;-14952;-14952;360;360;360;-0.24414;-0.24414;-0.24414;
129;-13546;-13546;-13546;390;390;390;-0.197952;-0.197952;-0.197952;
164;-11420;-11420;-11420;330;330;330;-0.145165;-0.145165;-0.145165;
126;-10026;-10026;-10026;330;330;330;-0.237542;-0.237542;-0.237542;
117;-8326;-8326;-8326;330;330;330;-0.191353;-0.191353;-0.191353;
122;-7276;-7276;-7276;330;330;330;-0.402502;-0.402502;-0.402502;
121;-5893;-5893;-5893;330;330;330;-0.184755;-0.184755;-0.184755;
119;-4389;-4389;-4389;360;360;360;-0.105574;-0.105574;-0.105574;
118;-3015;-3015;-3015;330;330;330;-0.237542;-0.237542;-0.237542;
114;-1514;-1514;-1514;390;390;390;-0.138566;-0.138566;-0.138566;
118;-126;-126;-126;300;300;300;-0.20455;-0.20455;-0.20455;
122;963;963;963;360;360;360;-0.296927;-0.296927;-0.296927;
121;2597;2597;2597;360;360;360;-0.184755;-0.184755;-0.184755;
120;4004;4004;4004;330;330;330;-0.303526;-0.303526;-0.303526;
122;5442;5442;5442;330;330;330;-0.211148;-0.211148;-0.211148;
121;6924;6924;6924;330;330;330;-0.16496;-0.16496;-0.16496;
122;8393;8393;8393;360;360;360;-0.191353;-0.191353;-0.191353;
122;9638;9638;9638;360;360;360;-0.263936;-0.263936;-0.263936;
115;10922;10922;10922;390;390;390;-0.20455;-0.20455;-0.20455;
115;12554;12554;12554;180;180;180;-0.125369;-0.125369;-0.125369;
117;13427;13427;13427;240;240;240;-0.145165;-0.145165;-0.145165;
114;14257;14257;14257;210;210;210;-0.0527871;-0.0527871;-0.0527871;
115;14889;14889;14889;180;180;180;-0.0725823;-0.0725823;-0.0725823;
118;15659;15659;15659;180;180;180;-0.0791807;-0.0791807;-0.0791807;
124;16276;16276;16276;150;150;150;-0.197952;-0.197952;-0.197952;
114;16927;16927;16927;180;180;180;-0.0593855;-0.0593855;-0.0593855;
115;17265;17265;17265;150;150;150;-0.0395903;-0.0395903;-0.0395903;
115;18176;18176;18176;210;210;210;-0.085779;-0.085779;-0.085779;
117;18909;18909;18909;180;180;180;-0.0329919;-0.0329919;-0.0329919;
121;19427;19427;19427;150;150;150;-0.151763;-0.151763;-0.151763;
119;20132;20132;20132;210;210;210;-0.145165;-0.145165;-0.145165;
116;20507;20507;20507;210;210;210;-0.125369;-0.125369;-0.125369;
116;21548;21548;21548;210;210;210;-0.125369;-0.125369;-0.125369;
117;22202;22202;22202;180;180;180;-0.00659839;-0.00659839;-0.00659839;
117;23040;23040;23040;180;180;180;-0.0725823;-0.0725823;-0.0725823;
116;23592;23592;23592;150;150;150;-0.0461887;-0.0461887;-0.0461887;
121;24312;24312;24312;120;120;120;-0.0989758;-0.0989758;-0.0989758;
123;25099;25099;25099;180;180;180;-0.131968;-0.131968;-0.131968;
118;25662;25662;25662;150;150;150;-0.0527871;-0.0527871;-0.0527871;
118;26282;26282;26282;90;90;90;-0.105574;-0.105574;-0.105574;
