Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
165;-17738;-17738;-17738;0;0;0;0.0263936;0.0263936;0.0263936;
115;-17750;-17750;-17750;0;0;0;0.085779;0.085779;0.085779;
115;-17794;-17794;-17794;-30;-30;-30;0.303526;0.303526;0.303526;
116;-17970;-17970;-17970;-90;-90;-90;0.277132;0.277132;0.277132;
113;-18136;-18136;-18136;-60;-60;-60;0.323321;0.323321;0.323321;
117;-18337;-18337;-18337;-30;-30;-30;0.290329;0.290329;0.290329;
117;-18497;-18497;-18497;0;0;0;0.329919;0.329919;0.329919;
118;-18755;-18755;-18755;-30;-30;-30;0.303526;0.303526;0.303526;
121;-19101;-19101;-19101;-60;-60;-60;0.290329;0.290329;0.290329;
121;-19390;-19390;-19390;-120;-120;-120;0.283731;0.283731;0.283731;
123;-19722;-19722;-19722;-120;-120;-120;0.263936;0.263936;0.263936;
119;-20093;-20093;-20093;-60;-60;-60;0.230944;0.230944;0.230944;
123;-20503;-20503;-20503;-60;-60;-60;0.263936;0.263936;0.263936;
120;-20822;-20822;-20822;-150;-150;-150;0.296927;0.296927;0.296927;
122;-21094;-21094;-21094;-90;-90;-90;0.382707;0.382707;0.382707;
122;-21518;-21518;-21518;-60;-60;-60;0.382707;0.382707;0.382707;
114;-21817;-21817;-21817;-90;-90;-90;0.415698;0.415698;0.415698;
114;-22041;-22041;-22041;-60;-60;-60;0.461887;0.461887;0.461887;
116;-22379;-22379;-22379;-90;-90;-90;0.442092;0.442092;0.442092;
121;-22625;-22625;-22625;-60;-60;-60;0.389305;0.389305;0.389305;
120;-22806;-22806;-22806;-60;-60;-60;0.349715;0.349715;0.349715;
122;-23519;-23519;-23519;-120;-120;-120;0.323321;0.323321;0.323321;
115;-23884;-23884;-23884;-60;-60;-60;0.290329;0.290329;0.290329;
114;-24270;-24270;-24270;-60;-60;-60;0.323321;0.323321;0.323321;
116;-24623;-24623;-24623;-90;-90;-90;0.382707;0.382707;0.382707;
120;-24848;-24848;-24848;-120;-120;-120;0.283731;0.283731;0.283731;
121;-25305;-25305;-25305;-90;-90;-90;0.283731;0.283731;0.283731;
120;-25585;-25585;-25585;-90;-90;-90;0.296927;0.296927;0.296927;
121;-25943;-25943;-25943;-90;-90;-90;0.323321;0.323321;0.323321;
121;-26342;-26342;-26342;-90;-90;-90;0.362911;0.362911;0.362911;
122;-26697;-26697;-26697;-90;-90;-90;0.356313;0.356313;0.356313;
121;-27047;-27047;-27047;-90;-90;-90;0.376108;0.376108;0.376108;
140;-27528;-27528;-27528;-120;-120;-120;0.343116;0.343116;0.343116;
124;-28009;-28009;-28009;-60;-60;-60;0.310124;0.310124;0.310124;
113;-28394;-28394;-28394;-90;-90;-90;0.303526;0.303526;0.303526;
115;-28732;-28732;-28732;-150;-150;-150;0.310124;0.310124;0.310124;
117;-29099;-29099;-29099;-120;-120;-120;0.250739;0.250739;0.250739;
120;-29727;-29727;-29727;-120;-120;-120;0.303526;0.303526;0.303526;
118;-30246;-30246;-30246;-90;-90;-90;0.257337;0.257337;0.257337;
117;-30690;-30690;-30690;-180;-180;-180;0.263936;0.263936;0.263936;
122;-31199;-31199;-31199;-120;-120;-120;0.257337;0.257337;0.257337;
123;-31670;-31670;-31670;-90;-90;-90;0.224345;0.224345;0.224345;
123;-32133;-32133;-32133;-90;-90;-90;0.20455;0.20455;0.20455;
122;-32593;-32593;-32593;-90;-90;-90;0.171558;0.171558;0.171558;
121;-33061;-33061;-33061;-90;-90;-90;0.296927;0.296927;0.296927;
124;-33392;-33392;-33392;-90;-90;-90;0.362911;0.362911;0.362911;
118;-33665;-33665;-33665;-90;-90;-90;0.389305;0.389305;0.389305;
117;-34004;-34004;-34004;-60;-60;-60;0.310124;0.310124;0.310124;
117;-34280;-34280;-34280;-90;-90;-90;0.36951;0.36951;0.36951;
122;-34694;-34694;-34694;-120;-120;-120;0.455289;0.455289;0.455289;
120;-35103;-35103;-35103;-120;-120;-120;0.323321;0.323321;0.323321;
116;-35602;-35602;-35602;-120;-120;-120;0.316723;0.316723;0.316723;
115;-35981;-35981;-35981;-120;-120;-120;0.336518;0.336518;0.336518;
