Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
170;29437;29437;29437;0;0;0;0.0131968;0.0131968;0.0131968;
120;29437;29437;29437;0;0;0;0.0263936;0.0263936;0.0263936;
115;29304;29304;29304;-30;-30;-30;0.16496;0.16496;0.16496;
118;29111;29111;29111;-60;-60;-60;0.16496;0.16496;0.16496;
117;28983;28983;28983;0;0;0;0.230944;0.230944;0.230944;
115;28560;28560;28560;-90;-90;-90;0.131968;0.131968;0.131968;
123;28127;28127;28127;-90;-90;-90;0.0923774;0.0923774;0.0923774;
124;27915;27915;27915;-60;-60;-60;0.112173;0.112173;0.112173;
122;27643;27643;27643;-90;-90;-90;0.211148;0.211148;0.211148;
122;27416;27416;27416;-60;-60;-60;0.20455;0.20455;0.20455;
122;27014;27014;27014;-150;-150;-150;0.158361;0.158361;0.158361;
124;26610;26610;26610;-90;-90;-90;0.131968;0.131968;0.131968;
121;26282;26282;26282;-90;-90;-90;0.145165;0.145165;0.145165;
117;26061;26061;26061;-120;-120;-120;0.20455;0.20455;0.20455;
118;25775;25775;25775;-120;-120;-120;0.191353;0.191353;0.191353;
116;25447;25447;25447;-60;-60;-60;0.184755;0.184755;0.184755;
116;25218;25218;25218;-60;-60;-60;0.217747;0.217747;0.217747;
126;24865;24865;24865;-90;-90;-90;0.125369;0.125369;0.125369;
120;24499;24499;24499;-90;-90;-90;0.105574;0.105574;0.105574;
137;24066;24066;24066;-120;-120;-120;0.125369;0.125369;0.125369;
114;23723;23723;23723;-60;-60;-60;0.230944;0.230944;0.230944;
117;23463;23463;23463;-60;-60;-60;0.237542;0.237542;0.237542;
123;23247;23247;23247;-30;-30;-30;0.178156;0.178156;0.178156;
123;22925;22925;22925;-120;-120;-120;0.211148;0.211148;0.211148;
122;22501;22501;22501;-90;-90;-90;0.16496;0.16496;0.16496;
122;22076;22076;22076;-90;-90;-90;0.237542;0.237542;0.237542;
117;21753;21753;21753;-90;-90;-90;0.230944;0.230944;0.230944;
121;21444;21444;21444;-90;-90;-90;0.250739;0.250739;0.250739;
122;21142;21142;21142;-120;-120;-120;0.296927;0.296927;0.296927;
122;20840;20840;20840;-90;-90;-90;0.283731;0.283731;0.283731;
118;20439;20439;20439;-90;-90;-90;0.290329;0.290329;0.290329;
115;20224;20224;20224;-60;-60;-60;0.316723;0.316723;0.316723;
117;19897;19897;19897;-90;-90;-90;0.296927;0.296927;0.296927;
117;19504;19504;19504;-90;-90;-90;0.290329;0.290329;0.290329;
121;19005;19005;19005;-60;-60;-60;0.211148;0.211148;0.211148;
123;18747;18747;18747;-120;-120;-120;0.197952;0.197952;0.197952;
123;18214;18214;18214;-90;-90;-90;0.263936;0.263936;0.263936;
118;17752;17752;17752;-150;-150;-150;0.16496;0.16496;0.16496;
124;17261;17261;17261;-180;-180;-180;0.197952;0.197952;0.197952;
114;16818;16818;16818;-90;-90;-90;0.211148;0.211148;0.211148;
117;16399;16399;16399;-120;-120;-120;0.131968;0.131968;0.131968;
117;16122;16122;16122;-90;-90;-90;0.145165;0.145165;0.145165;
122;15686;15686;15686;-90;-90;-90;0.178156;0.178156;0.178156;
117;15234;15234;15234;-60;-60;-60;0.24414;0.24414;0.24414;
114;14848;14848;14848;-60;-60;-60;0.270534;0.270534;0.270534;
115;14522;14522;14522;-150;-150;-150;0.310124;0.310124;0.310124;
118;14265;14265;14265;-150;-150;-150;0.303526;0.303526;0.303526;
116;13686;13686;13686;-150;-150;-150;0.356313;0.356313;0.356313;
119;13166;13166;13166;-180;-180;-180;0.316723;0.316723;0.316723;
121;12709;12709;12709;-60;-60;-60;0.362911;0.362911;0.362911;
121;12038;12038;12038;-150;-150;-150;0.442092;0.442092;0.442092;
