Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
128;-45512;-45512;-45512;0;0;0;0.0329919;0.0329919;0.0329919;
122;-45510;-45510;-45510;0;0;0;0.0131968;0.0131968;0.0131968;
116;-45473;-45473;-45473;0;0;0;-0.283731;-0.283731;-0.283731;
120;-45179;-45179;-45179;60;60;60;-0.257337;-0.257337;-0.257337;
123;-44778;-44778;-44778;150;150;150;-0.237542;-0.237542;-0.237542;
223;-43998;-43998;-43998;150;150;150;-0.184755;-0.184755;-0.184755;
115;-43586;-43586;-43586;120;120;120;-0.151763;-0.151763;-0.151763;
121;-42953;-42953;-42953;120;120;120;-0.184755;-0.184755;-0.184755;
121;-42350;-42350;-42350;150;150;150;-0.138566;-0.138566;-0.138566;
120;-42099;-42099;-42099;90;90;90;-0.0923774;-0.0923774;-0.0923774;
121;-41399;-41399;-41399;180;180;180;-0.131968;-0.131968;-0.131968;
121;-40925;-40925;-40925;120;120;120;-0.237542;-0.237542;-0.237542;
122;-40518;-40518;-40518;120;120;120;-0.316723;-0.316723;-0.316723;
120;-39962;-39962;-39962;90;90;90;-0.343116;-0.343116;-0.343116;
119;-39504;-39504;-39504;150;150;150;-0.382707;-0.382707;-0.382707;
118;-38986;-38986;-38986;150;150;150;-0.349715;-0.349715;-0.349715;
121;-38402;-38402;-38402;150;150;150;-0.24414;-0.24414;-0.24414;
122;-37850;-37850;-37850;180;180;180;-0.197952;-0.197952;-0.197952;
122;-37001;-37001;-37001;210;210;210;-0.16496;-0.16496;-0.16496;
120;-36360;-36360;-36360;180;180;180;-0.230944;-0.230944;-0.230944;
123;-35705;-35705;-35705;90;90;90;-0.217747;-0.217747;-0.217747;
121;-35032;-35032;-35032;210;210;210;-0.217747;-0.217747;-0.217747;
115;-34334;-34334;-34334;210;210;210;-0.171558;-0.171558;-0.171558;
116;-33582;-33582;-33582;180;180;180;-0.0461887;-0.0461887;-0.0461887;
115;-32952;-32952;-32952;150;150;150;-0.0329919;-0.0329919;-0.0329919;
116;-32252;-32252;-32252;150;150;150;-0.16496;-0.16496;-0.16496;
116;-31717;-31717;-31717;90;90;90;-0.343116;-0.343116;-0.343116;
118;-31185;-31185;-31185;120;120;120;-0.296927;-0.296927;-0.296927;
118;-30570;-30570;-30570;180;180;180;-0.277132;-0.277132;-0.277132;
114;-29859;-29859;-29859;180;180;180;-0.191353;-0.191353;-0.191353;
114;-29218;-29218;-29218;210;210;210;-0.171558;-0.171558;-0.171558;
116;-28706;-28706;-28706;150;150;150;-0.263936;-0.263936;-0.263936;
115;-27971;-27971;-27971;210;210;210;-0.171558;-0.171558;-0.171558;
118;-26972;-26972;-26972;180;180;180;-0.151763;-0.151763;-0.151763;
114;-26216;-26216;-26216;180;180;180;-0.178156;-0.178156;-0.178156;
115;-25615;-25615;-25615;180;180;180;-0.105574;-0.105574;-0.105574;
121;-24937;-24937;-24937;150;150;150;-0.257337;-0.257337;-0.257337;
119;-24371;-24371;-24371;150;150;150;-0.145165;-0.145165;-0.145165;
114;-23703;-23703;-23703;90;90;90;-0.270534;-0.270534;-0.270534;
114;-22958;-22958;-22958;120;120;120;-0.310124;-0.310124;-0.310124;
120;-22393;-22393;-22393;150;150;150;-0.211148;-0.211148;-0.211148;
118;-21661;-21661;-21661;210;210;210;-0.217747;-0.217747;-0.217747;
120;-21183;-21183;-21183;150;150;150;-0.224345;-0.224345;-0.224345;
117;-20145;-20145;-20145;210;210;210;-0.20455;-0.20455;-0.20455;
117;-19225;-19225;-19225;150;150;150;-0.158361;-0.158361;-0.158361;
117;-18893;-18893;-18893;180;180;180;-0.217747;-0.217747;-0.217747;
114;-17936;-17936;-17936;180;180;180;-0.237542;-0.237542;-0.237542;
121;-17243;-17243;-17243;180;180;180;-0.230944;-0.230944;-0.230944;
120;-16647;-16647;-16647;180;180;180;-0.290329;-0.290329;-0.290329;
123;-15855;-15855;-15855;210;210;210;-0.257337;-0.257337;-0.257337;
121;-14974;-14974;-14974;180;180;180;-0.329919;-0.329919;-0.329919;
121;-14153;-14153;-14153;210;210;210;-0.250739;-0.250739;-0.250739;
122;-13269;-13269;-13269;240;240;240;-0.263936;-0.263936;-0.263936;
125;-12363;-12363;-12363;210;210;210;-0.171558;-0.171558;-0.171558;
114;-11359;-11359;-11359;240;240;240;-0.138566;-0.138566;-0.138566;
115;-10657;-10657;-10657;210;210;210;-0.217747;-0.217747;-0.217747;
119;-9826;-9826;-9826;210;210;210;-0.112173;-0.112173;-0.112173;
116;-9412;-9412;-9412;150;150;150;-0.0659839;-0.0659839;-0.0659839;
122;-8288;-8288;-8288;180;180;180;-0.224345;-0.224345;-0.224345;
122;-7591;-7591;-7591;210;210;210;-0.237542;-0.237542;-0.237542;
120;-7136;-7136;-7136;150;150;150;-0.257337;-0.257337;-0.257337;
122;-6402;-6402;-6402;210;210;210;-0.270534;-0.270534;-0.270534;
113;-5306;-5306;-5306;210;210;210;-0.197952;-0.197952;-0.197952;
115;-4565;-4565;-4565;180;180;180;-0.197952;-0.197952;-0.197952;
116;-3934;-3934;-3934;180;180;180;-0.329919;-0.329919;-0.329919;
118;-3166;-3166;-3166;180;180;180;-0.303526;-0.303526;-0.303526;
118;-2389;-2389;-2389;180;180;180;-0.250739;-0.250739;-0.250739;
119;-1703;-1703;-1703;210;210;210;-0.230944;-0.230944;-0.230944;
133;-727;-727;-727;210;210;210;-0.250739;-0.250739;-0.250739;
130;268;268;268;180;180;180;-0.415698;-0.415698;-0.415698;
132;919;919;919;240;240;240;-0.323321;-0.323321;-0.323321;
165;2163;2163;2163;210;210;210;-0.250739;-0.250739;-0.250739;
130;2929;2929;2929;270;270;270;-0.211148;-0.211148;-0.211148;
113;3987;3987;3987;240;240;240;-0.158361;-0.158361;-0.158361;
116;4822;4822;4822;210;210;210;-0.230944;-0.230944;-0.230944;
116;5590;5590;5590;210;210;210;-0.184755;-0.184755;-0.184755;
118;6371;6371;6371;240;240;240;-0.138566;-0.138566;-0.138566;
114;7055;7055;7055;150;150;150;-0.151763;-0.151763;-0.151763;
116;7785;7785;7785;120;120;120;-0.257337;-0.257337;-0.257337;
116;8345;8345;8345;120;120;120;-0.283731;-0.283731;-0.283731;
117;8950;8950;8950;180;180;180;-0.343116;-0.343116;-0.343116;
119;9508;9508;9508;180;180;180;-0.343116;-0.343116;-0.343116;
118;10359;10359;10359;210;210;210;-0.296927;-0.296927;-0.296927;
119;11159;11159;11159;210;210;210;-0.224345;-0.224345;-0.224345;
118;11710;11710;11710;240;240;240;-0.224345;-0.224345;-0.224345;
119;12608;12608;12608;210;210;210;-0.224345;-0.224345;-0.224345;
119;13348;13348;13348;210;210;210;-0.211148;-0.211148;-0.211148;
120;14105;14105;14105;210;210;210;-0.151763;-0.151763;-0.151763;
115;14997;14997;14997;210;210;210;-0.112173;-0.112173;-0.112173;
116;15568;15568;15568;120;120;120;-0.131968;-0.131968;-0.131968;
117;16135;16135;16135;180;180;180;-0.20455;-0.20455;-0.20455;
115;16510;16510;16510;120;120;120;-0.230944;-0.230944;-0.230944;
115;17227;17227;17227;180;180;180;-0.329919;-0.329919;-0.329919;
115;17881;17881;17881;180;180;180;-0.197952;-0.197952;-0.197952;
114;18529;18529;18529;120;120;120;-0.16496;-0.16496;-0.16496;
115;18820;18820;18820;150;150;150;-0.217747;-0.217747;-0.217747;
115;19736;19736;19736;210;210;210;-0.191353;-0.191353;-0.191353;
115;20228;20228;20228;180;180;180;-0.184755;-0.184755;-0.184755;
114;20674;20674;20674;120;120;120;-0.118771;-0.118771;-0.118771;
114;21337;21337;21337;120;120;120;-0.0659839;-0.0659839;-0.0659839;
116;21848;21848;21848;90;90;90;-0.0527871;-0.0527871;-0.0527871;
114;22137;22137;22137;150;150;150;-0.0659839;-0.0659839;-0.0659839;
115;22530;22530;22530;60;60;60;-0.0659839;-0.0659839;-0.0659839;
116;23030;23030;23030;30;30;30;-0.0527871;-0.0527871;-0.0527871;
117;23312;23312;23312;60;60;60;-0.085779;-0.085779;-0.085779;
117;23634;23634;23634;90;90;90;-0.131968;-0.131968;-0.131968;
119;23854;23854;23854;60;60;60;-0.138566;-0.138566;-0.138566;
118;24104;24104;24104;30;30;30;-0.171558;-0.171558;-0.171558;
122;24263;24263;24263;30;30;30;-0.250739;-0.250739;-0.250739;
116;24424;24424;24424;30;30;30;-0.131968;-0.131968;-0.131968;
115;24594;24594;24594;60;60;60;-0.16496;-0.16496;-0.16496;
115;24736;24736;24736;60;60;60;-0.0923774;-0.0923774;-0.0923774;
117;24926;24926;24926;30;30;30;-0.105574;-0.105574;-0.105574;
123;25081;25081;25081;30;30;30;-0.145165;-0.145165;-0.145165;
119;25269;25269;25269;0;0;0;-0.112173;-0.112173;-0.112173;
118;25357;25357;25357;30;30;30;-0.0923774;-0.0923774;-0.0923774;
118;25461;25461;25461;30;30;30;-0.0923774;-0.0923774;-0.0923774;
119;25479;25479;25479;0;0;0;0.0395903;0.0395903;0.0395903;
120;25447;25447;25447;0;0;0;0.0263936;0.0263936;0.0263936;
114;25350;25350;25350;-60;-60;-60;0;0;0;
115;25230;25230;25230;0;0;0;0.0527871;0.0527871;0.0527871;
121;25192;25192;25192;-60;-60;-60;0.0791807;0.0791807;0.0791807;
120;24985;24985;24985;-30;-30;-30;0.0395903;0.0395903;0.0395903;
121;24812;24812;24812;-60;-60;-60;0.0461887;0.0461887;0.0461887;
121;24688;24688;24688;-30;-30;-30;0.112173;0.112173;0.112173;
122;24488;24488;24488;0;0;0;0.085779;0.085779;0.085779;
117;24385;24385;24385;-60;-60;-60;0.0923774;0.0923774;0.0923774;
119;24181;24181;24181;0;0;0;0.0791807;0.0791807;0.0791807;
122;24054;24054;24054;-90;-90;-90;0.145165;0.145165;0.145165;
121;23675;23675;23675;-90;-90;-90;0.151763;0.151763;0.151763;
122;23406;23406;23406;-90;-90;-90;0.138566;0.138566;0.138566;
120;23045;23045;23045;-90;-90;-90;0.178156;0.178156;0.178156;
120;22724;22724;22724;-90;-90;-90;0.283731;0.283731;0.283731;
117;22398;22398;22398;-120;-120;-120;0.16496;0.16496;0.16496;
122;21909;21909;21909;-90;-90;-90;0.171558;0.171558;0.171558;
135;21479;21479;21479;-60;-60;-60;0.237542;0.237542;0.237542;
114;21177;21177;21177;-150;-150;-150;0.24414;0.24414;0.24414;
117;20474;20474;20474;-120;-120;-120;0.329919;0.329919;0.329919;
116;19872;19872;19872;-180;-180;-180;0.224345;0.224345;0.224345;
118;19247;19247;19247;-150;-150;-150;0.316723;0.316723;0.316723;
116;18738;18738;18738;-150;-150;-150;0.316723;0.316723;0.316723;
120;17972;17972;17972;-150;-150;-150;0.310124;0.310124;0.310124;
121;17437;17437;17437;-150;-150;-150;0.336518;0.336518;0.336518;
121;16761;16761;16761;-180;-180;-180;0.290329;0.290329;0.290329;
121;16020;16020;16020;-210;-210;-210;0.224345;0.224345;0.224345;
121;15505;15505;15505;-210;-210;-210;0.197952;0.197952;0.197952;
120;14521;14521;14521;-240;-240;-240;0.389305;0.389305;0.389305;
120;13827;13827;13827;-180;-180;-180;0.329919;0.329919;0.329919;
119;12956;12956;12956;-210;-210;-210;0.296927;0.296927;0.296927;
120;12444;12444;12444;-150;-150;-150;0.310124;0.310124;0.310124;
121;11570;11570;11570;-180;-180;-180;0.277132;0.277132;0.277132;
113;10890;10890;10890;-150;-150;-150;0.277132;0.277132;0.277132;
115;10163;10163;10163;-210;-210;-210;0.329919;0.329919;0.329919;
124;9648;9648;9648;-180;-180;-180;0.303526;0.303526;0.303526;
113;8631;8631;8631;-210;-210;-210;0.277132;0.277132;0.277132;
113;8112;8112;8112;-210;-210;-210;0.270534;0.270534;0.270534;
115;7519;7519;7519;-180;-180;-180;0.36951;0.36951;0.36951;
116;6404;6404;6404;-180;-180;-180;0.356313;0.356313;0.356313;
114;5970;5970;5970;-180;-180;-180;0.323321;0.323321;0.323321;
118;4724;4724;4724;-210;-210;-210;0.224345;0.224345;0.224345;
118;3838;3838;3838;-180;-180;-180;0.211148;0.211148;0.211148;
119;3118;3118;3118;-210;-210;-210;0.237542;0.237542;0.237542;
122;2419;2419;2419;-180;-180;-180;0.24414;0.24414;0.24414;
117;1443;1443;1443;-180;-180;-180;0.310124;0.310124;0.310124;
112;858;858;858;-180;-180;-180;0.224345;0.224345;0.224345;
115;130;130;130;-180;-180;-180;0.24414;0.24414;0.24414;
116;-312;-312;-312;-120;-120;-120;0.283731;0.283731;0.283731;
115;-1173;-1173;-1173;-180;-180;-180;0.36951;0.36951;0.36951;
117;-1477;-1477;-1477;-180;-180;-180;0.455289;0.455289;0.455289;
117;-2189;-2189;-2189;-120;-120;-120;0.402502;0.402502;0.402502;
117;-2672;-2672;-2672;-150;-150;-150;0.310124;0.310124;0.310124;
115;-3394;-3394;-3394;-150;-150;-150;0.277132;0.277132;0.277132;
118;-3744;-3744;-3744;-150;-150;-150;0.316723;0.316723;0.316723;
113;-4331;-4331;-4331;-180;-180;-180;0.263936;0.263936;0.263936;
116;-4926;-4926;-4926;-90;-90;-90;0.20455;0.20455;0.20455;
116;-5374;-5374;-5374;-150;-150;-150;0.20455;0.20455;0.20455;
117;-5700;-5700;-5700;-120;-120;-120;0.237542;0.237542;0.237542;
116;-6031;-6031;-6031;0;0;0;0.0329919;0.0329919;0.0329919;
115;-6105;-6105;-6105;-30;-30;-30;0.138566;0.138566;0.138566;
115;-6255;-6255;-6255;-30;-30;-30;0.151763;0.151763;0.151763;
114;-6374;-6374;-6374;-60;-60;-60;0.105574;0.105574;0.105574;
113;-6504;-6504;-6504;-30;-30;-30;0.158361;0.158361;0.158361;
115;-6620;-6620;-6620;-60;-60;-60;0.085779;0.085779;0.085779;
115;-6738;-6738;-6738;-60;-60;-60;0;0;0;
116;-6760;-6760;-6760;0;0;0;0.0131968;0.0131968;0.0131968;
118;-6758;-6758;-6758;0;0;0;-0.0329919;-0.0329919;-0.0329919;
115;-6760;-6760;-6760;0;0;0;-0.0131968;-0.0131968;-0.0131968;
116;-6677;-6677;-6677;60;60;60;-0.178156;-0.178156;-0.178156;
115;-6427;-6427;-6427;60;60;60;-0.0923774;-0.0923774;-0.0923774;
116;-6202;-6202;-6202;90;90;90;-0.20455;-0.20455;-0.20455;
169;-5568;-5568;-5568;90;90;90;-0.112173;-0.112173;-0.112173;
118;-5016;-5016;-5016;150;150;150;-0.230944;-0.230944;-0.230944;
115;-4785;-4785;-4785;120;120;120;-0.277132;-0.277132;-0.277132;
139;-4129;-4129;-4129;150;150;150;-0.20455;-0.20455;-0.20455;
114;-3438;-3438;-3438;90;90;90;-0.197952;-0.197952;-0.197952;
118;-3016;-3016;-3016;210;210;210;-0.277132;-0.277132;-0.277132;
121;-2257;-2257;-2257;210;210;210;-0.230944;-0.230944;-0.230944;
120;-1394;-1394;-1394;180;180;180;-0.125369;-0.125369;-0.125369;
117;-1015;-1015;-1015;240;240;240;-0.16496;-0.16496;-0.16496;
116;-81;-81;-81;210;210;210;-0.16496;-0.16496;-0.16496;
122;397;397;397;150;150;150;-0.131968;-0.131968;-0.131968;
119;1191;1191;1191;180;180;180;-0.24414;-0.24414;-0.24414;
120;2160;2160;2160;210;210;210;-0.191353;-0.191353;-0.191353;
118;2544;2544;2544;210;210;210;-0.277132;-0.277132;-0.277132;
121;3421;3421;3421;210;210;210;-0.211148;-0.211148;-0.211148;
122;4038;4038;4038;150;150;150;-0.270534;-0.270534;-0.270534;
