Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
135;-6017;-6017;-6017;0;0;0;0.0329919;0.0329919;0.0329919;
115;-6017;-6017;-6017;0;0;0;0.0329919;0.0329919;0.0329919;
116;-5744;-5744;-5744;90;90;90;-0.382707;-0.382707;-0.382707;
116;-5486;-5486;-5486;120;120;120;-0.376108;-0.376108;-0.376108;
119;-4525;-4525;-4525;210;210;210;-0.316723;-0.316723;-0.316723;
118;-3950;-3950;-3950;210;210;210;-0.237542;-0.237542;-0.237542;
115;-2600;-2600;-2600;240;240;240;-0.171558;-0.171558;-0.171558;
117;-1834;-1834;-1834;270;270;270;-0.131968;-0.131968;-0.131968;
133;-949;-949;-949;210;210;210;-0.112173;-0.112173;-0.112173;
122;-28;-28;-28;180;180;180;-0.197952;-0.197952;-0.197952;
117;651;651;651;180;180;180;-0.270534;-0.270534;-0.270534;
114;1211;1211;1211;210;210;210;-0.389305;-0.389305;-0.389305;
118;1967;1967;1967;240;240;240;-0.310124;-0.310124;-0.310124;
117;2819;2819;2819;210;210;210;-0.270534;-0.270534;-0.270534;
117;3358;3358;3358;180;180;180;-0.230944;-0.230944;-0.230944;
120;4454;4454;4454;210;210;210;-0.230944;-0.230944;-0.230944;
120;5303;5303;5303;180;180;180;-0.237542;-0.237542;-0.237542;
122;6373;6373;6373;210;210;210;-0.0659839;-0.0659839;-0.0659839;
123;7131;7131;7131;210;210;210;-0.0527871;-0.0527871;-0.0527871;
122;7804;7804;7804;90;90;90;-0.224345;-0.224345;-0.224345;
122;8559;8559;8559;180;180;180;-0.316723;-0.316723;-0.316723;
122;9205;9205;9205;180;180;180;-0.277132;-0.277132;-0.277132;
122;9818;9818;9818;180;180;180;-0.270534;-0.270534;-0.270534;
122;10648;10648;10648;180;180;180;-0.211148;-0.211148;-0.211148;
121;11216;11216;11216;180;180;180;-0.24414;-0.24414;-0.24414;
122;12005;12005;12005;180;180;180;-0.224345;-0.224345;-0.224345;
123;12732;12732;12732;180;180;180;-0.237542;-0.237542;-0.237542;
122;13512;13512;13512;180;180;180;-0.138566;-0.138566;-0.138566;
121;14310;14310;14310;180;180;180;-0.145165;-0.145165;-0.145165;
121;14834;14834;14834;210;210;210;-0.178156;-0.178156;-0.178156;
124;15994;15994;15994;210;210;210;-0.178156;-0.178156;-0.178156;
121;16738;16738;16738;180;180;180;-0.277132;-0.277132;-0.277132;
120;17326;17326;17326;180;180;180;-0.316723;-0.316723;-0.316723;
120;18173;18173;18173;150;150;150;-0.211148;-0.211148;-0.211148;
121;18837;18837;18837;210;210;210;-0.224345;-0.224345;-0.224345;
122;19657;19657;19657;210;210;210;-0.125369;-0.125369;-0.125369;
120;20522;20522;20522;150;150;150;-0.171558;-0.171558;-0.171558;
120;21259;21259;21259;150;150;150;-0.191353;-0.191353;-0.191353;
121;21927;21927;21927;210;210;210;-0.0659839;-0.0659839;-0.0659839;
124;22922;22922;22922;210;210;210;-0.0461887;-0.0461887;-0.0461887;
123;23550;23550;23550;150;150;150;-0.118771;-0.118771;-0.118771;
123;24292;24292;24292;150;150;150;-0.263936;-0.263936;-0.263936;
124;24886;24886;24886;150;150;150;-0.224345;-0.224345;-0.224345;
146;25488;25488;25488;180;180;180;-0.263936;-0.263936;-0.263936;
123;26214;26214;26214;180;180;180;-0.151763;-0.151763;-0.151763;
114;27203;27203;27203;150;150;150;-0.131968;-0.131968;-0.131968;
116;27873;27873;27873;150;150;150;-0.184755;-0.184755;-0.184755;
119;28438;28438;28438;180;180;180;-0.151763;-0.151763;-0.151763;
115;29075;29075;29075;180;180;180;-0.217747;-0.217747;-0.217747;
117;29731;29731;29731;180;180;180;-0.118771;-0.118771;-0.118771;
118;30448;30448;30448;150;150;150;-0.0395903;-0.0395903;-0.0395903;
118;31096;31096;31096;150;150;150;-0.145165;-0.145165;-0.145165;
122;31696;31696;31696;150;150;150;-0.16496;-0.16496;-0.16496;
128;32178;32178;32178;90;90;90;-0.178156;-0.178156;-0.178156;
115;32648;32648;32648;90;90;90;-0.217747;-0.217747;-0.217747;
114;33173;33173;33173;120;120;120;-0.20455;-0.20455;-0.20455;
117;33802;33802;33802;180;180;180;-0.24414;-0.24414;-0.24414;
120;34488;34488;34488;150;150;150;-0.151763;-0.151763;-0.151763;
119;34971;34971;34971;180;180;180;-0.217747;-0.217747;-0.217747;
120;35614;35614;35614;120;120;120;-0.125369;-0.125369;-0.125369;
123;36197;36197;36197;120;120;120;-0.105574;-0.105574;-0.105574;
123;36680;36680;36680;150;150;150;-0.112173;-0.112173;-0.112173;
123;37304;37304;37304;120;120;120;-0.16496;-0.16496;-0.16496;
123;37780;37780;37780;90;90;90;-0.20455;-0.20455;-0.20455;
121;38203;38203;38203;120;120;120;-0.125369;-0.125369;-0.125369;
132;38630;38630;38630;120;120;120;-0.118771;-0.118771;-0.118771;
121;39031;39031;39031;60;60;60;-0.230944;-0.230944;-0.230944;
121;39425;39425;39425;90;90;90;-0.145165;-0.145165;-0.145165;
116;39905;39905;39905;90;90;90;-0.178156;-0.178156;-0.178156;
118;40285;40285;40285;60;60;60;-0.323321;-0.323321;-0.323321;
120;40642;40642;40642;90;90;90;-0.250739;-0.250739;-0.250739;
119;40864;40864;40864;60;60;60;-0.250739;-0.250739;-0.250739;
115;41271;41271;41271;30;30;30;-0.303526;-0.303526;-0.303526;
117;41609;41609;41609;60;60;60;-0.178156;-0.178156;-0.178156;
121;41942;41942;41942;60;60;60;-0.158361;-0.158361;-0.158361;
124;42274;42274;42274;60;60;60;-0.250739;-0.250739;-0.250739;
122;42621;42621;42621;90;90;90;-0.145165;-0.145165;-0.145165;
122;43019;43019;43019;60;60;60;-0.125369;-0.125369;-0.125369;
121;43337;43337;43337;90;90;90;-0.0791807;-0.0791807;-0.0791807;
119;43637;43637;43637;90;90;90;-0.0725823;-0.0725823;-0.0725823;
121;44033;44033;44033;30;30;30;-0.158361;-0.158361;-0.158361;
122;44344;44344;44344;30;30;30;-0.131968;-0.131968;-0.131968;
123;44641;44641;44641;30;30;30;-0.145165;-0.145165;-0.145165;
121;44849;44849;44849;60;60;60;-0.151763;-0.151763;-0.151763;
122;45079;45079;45079;0;0;0;-0.085779;-0.085779;-0.085779;
120;45274;45274;45274;30;30;30;-0.085779;-0.085779;-0.085779;
116;45346;45346;45346;30;30;30;-0.0197952;-0.0197952;-0.0197952;
122;45582;45582;45582;30;30;30;-0.0329919;-0.0329919;-0.0329919;
123;45765;45765;45765;0;0;0;-0.0395903;-0.0395903;-0.0395903;
122;45893;45893;45893;60;60;60;0.00659839;0.00659839;0.00659839;
122;46022;46022;46022;30;30;30;-0.105574;-0.105574;-0.105574;
122;46099;46099;46099;30;30;30;0.0197952;0.0197952;0.0197952;
122;46315;46315;46315;90;90;90;-0.0263936;-0.0263936;-0.0263936;
120;46506;46506;46506;30;30;30;0.0263936;0.0263936;0.0263936;
123;46709;46709;46709;90;90;90;0.00659839;0.00659839;0.00659839;
119;46885;46885;46885;0;0;0;0.0329919;0.0329919;0.0329919;
121;46951;46951;46951;0;0;0;0.0329919;0.0329919;0.0329919;
113;46995;46995;46995;0;0;0;-0.0263936;-0.0263936;-0.0263936;
115;46997;46997;46997;0;0;0;0.0329919;0.0329919;0.0329919;
114;46997;46997;46997;0;0;0;0.0329919;0.0329919;0.0329919;
117;46993;46993;46993;0;0;0;0.0263936;0.0263936;0.0263936;
115;46995;46995;46995;0;0;0;0.0329919;0.0329919;0.0329919;
119;47006;47006;47006;0;0;0;0.00659839;0.00659839;0.00659839;
120;47004;47004;47004;0;0;0;0.0527871;0.0527871;0.0527871;
118;47003;47003;47003;0;0;0;0.0791807;0.0791807;0.0791807;
