Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
227;-6049;-6049;-6049;0;0;0;0.0263936;0.0263936;0.0263936;
119;-6053;-6053;-6053;0;0;0;0.0989758;0.0989758;0.0989758;
116;-6052;-6052;-6052;30;30;30;0.0263936;0.0263936;0.0263936;
119;-6036;-6036;-6036;30;30;30;0.0263936;0.0263936;0.0263936;
121;-6025;-6025;-6025;30;30;30;0.0395903;0.0395903;0.0395903;
121;-6013;-6013;-6013;0;0;0;0.118771;0.118771;0.118771;
122;-6017;-6017;-6017;0;0;0;0.0725823;0.0725823;0.0725823;
124;-6028;-6028;-6028;-30;-30;-30;0.145165;0.145165;0.145165;
114;-6068;-6068;-6068;0;0;0;0.0791807;0.0791807;0.0791807;
116;-6077;-6077;-6077;0;0;0;0.145165;0.145165;0.145165;
114;-6100;-6100;-6100;0;0;0;0.178156;0.178156;0.178156;
115;-6143;-6143;-6143;0;0;0;0.20455;0.20455;0.20455;
115;-6108;-6108;-6108;0;0;0;0.085779;0.085779;0.085779;
121;-6118;-6118;-6118;0;0;0;0.20455;0.20455;0.20455;
113;-6150;-6150;-6150;0;0;0;0.24414;0.24414;0.24414;
114;-6240;-6240;-6240;0;0;0;0.237542;0.237542;0.237542;
113;-6245;-6245;-6245;0;0;0;0.296927;0.296927;0.296927;
114;-6275;-6275;-6275;0;0;0;0.382707;0.382707;0.382707;
114;-6392;-6392;-6392;0;0;0;0.310124;0.310124;0.310124;
113;-6503;-6503;-6503;-30;-30;-30;0.376108;0.376108;0.376108;
115;-6469;-6469;-6469;0;0;0;0.158361;0.158361;0.158361;
116;-6466;-6466;-6466;0;0;0;0.138566;0.138566;0.138566;
120;-6487;-6487;-6487;0;0;0;0.151763;0.151763;0.151763;
117;-6465;-6465;-6465;30;30;30;0.0461887;0.0461887;0.0461887;
115;-6461;-6461;-6461;0;0;0;0.0923774;0.0923774;0.0923774;
119;-6476;-6476;-6476;-30;-30;-30;0.145165;0.145165;0.145165;
114;-6466;-6466;-6466;0;0;0;0.151763;0.151763;0.151763;
117;-6468;-6468;-6468;0;0;0;0.0329919;0.0329919;0.0329919;
115;-6469;-6469;-6469;0;0;0;0.16496;0.16496;0.16496;
113;-6458;-6458;-6458;0;0;0;0.0263936;0.0263936;0.0263936;
114;-6479;-6479;-6479;0;0;0;0.112173;0.112173;0.112173;
117;-6496;-6496;-6496;0;0;0;0.24414;0.24414;0.24414;
114;-6518;-6518;-6518;0;0;0;0.349715;0.349715;0.349715;
118;-6581;-6581;-6581;-30;-30;-30;0.356313;0.356313;0.356313;
120;-6695;-6695;-6695;0;0;0;0.343116;0.343116;0.343116;
121;-6758;-6758;-6758;0;0;0;0.356313;0.356313;0.356313;
119;-6737;-6737;-6737;-30;-30;-30;0.158361;0.158361;0.158361;
120;-6737;-6737;-6737;0;0;0;0.105574;0.105574;0.105574;
118;-6740;-6740;-6740;0;0;0;0.085779;0.085779;0.085779;
117;-6738;-6738;-6738;0;0;0;0.118771;0.118771;0.118771;
117;-6747;-6747;-6747;0;0;0;0.085779;0.085779;0.085779;
121;-6757;-6757;-6757;30;30;30;0.171558;0.171558;0.171558;
122;-6769;-6769;-6769;0;0;0;0.263936;0.263936;0.263936;
122;-6862;-6862;-6862;-30;-30;-30;0.237542;0.237542;0.237542;
121;-6935;-6935;-6935;0;0;0;0.224345;0.224345;0.224345;
121;-6998;-6998;-6998;0;0;0;0.329919;0.329919;0.329919;
121;-7044;-7044;-7044;-30;-30;-30;0.310124;0.310124;0.310124;
117;-7127;-7127;-7127;0;0;0;0.296927;0.296927;0.296927;
113;-7226;-7226;-7226;-30;-30;-30;0.349715;0.349715;0.349715;
120;-7268;-7268;-7268;-30;-30;-30;0.382707;0.382707;0.382707;
117;-7368;-7368;-7368;0;0;0;0.303526;0.303526;0.303526;
121;-7500;-7500;-7500;-30;-30;-30;0.349715;0.349715;0.349715;
120;-7678;-7678;-7678;-30;-30;-30;0.382707;0.382707;0.382707;
126;-7791;-7791;-7791;-30;-30;-30;0.402502;0.402502;0.402502;
113;-8016;-8016;-8016;-60;-60;-60;0.389305;0.389305;0.389305;
115;-8231;-8231;-8231;-60;-60;-60;0.389305;0.389305;0.389305;
116;-8338;-8338;-8338;-60;-60;-60;0.336518;0.336518;0.336518;
121;-8519;-8519;-8519;0;0;0;0.336518;0.336518;0.336518;
120;-8668;-8668;-8668;0;0;0;0.349715;0.349715;0.349715;
120;-8783;-8783;-8783;-30;-30;-30;0.349715;0.349715;0.349715;
116;-8729;-8729;-8729;0;0;0;0.237542;0.237542;0.237542;
119;-8746;-8746;-8746;0;0;0;0.20455;0.20455;0.20455;
112;-8759;-8759;-8759;0;0;0;0.296927;0.296927;0.296927;
117;-8755;-8755;-8755;30;30;30;0.191353;0.191353;0.191353;
119;-8732;-8732;-8732;0;0;0;0.138566;0.138566;0.138566;
306;-8587;-8587;-8587;0;0;0;0.118771;0.118771;0.118771;
192;-8579;-8579;-8579;30;30;30;0.118771;0.118771;0.118771;
115;-8591;-8591;-8591;0;0;0;0.184755;0.184755;0.184755;
115;-8546;-8546;-8546;0;0;0;0.151763;0.151763;0.151763;
114;-8569;-8569;-8569;-30;-30;-
