Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
122;-149342;-149342;-149342;0;0;0;0.0131968;0.0131968;0.0131968;
240;-149344;-47879;198795;0;30;0;0.0659839;-0.145165;0.587257;
356;-149585;-47382;198600;-120;240;-90;0.290329;-0.752216;0.870987;
473;-150193;-46010;197921;-240;510;-240;0.277132;-0.336518;0.798405;
615;-151437;-43279;196583;-270;540;-300;0.112173;-0.0197952;0.659839;
732;-152462;-40952;195110;-180;510;-330;0.184755;-0.224345;0.673036;
848;-153166;-39306;194287;-240;480;-270;0.145165;-0.323321;0.798405;
966;-154075;-37313;193170;-240;510;-270;0.16496;-0.230944;0.8182;
1086;-154945;-35232;192088;-180;510;-330;0.191353;-0.171558;0.837995;
1203;-155724;-33241;190770;-210;510;-330;0.158361;-0.217747;0.719224;
1327;-156560;-31152;189529;-240;540;-330;0.138566;-0.283731;0.831397;
1456;-157437;-29109;188243;-210;510;-330;0.0659839;-0.349715;0.699429;
1580;-158330;-26635;186724;-210;510;-270;0.191353;-0.20455;0.679634;
1708;-159146;-24595;185510;-210;510;-240;0.131968;-0.329919;0.837995;
1826;-160095;-22258;184218;-180;480;-270;0.0923774;-0.20455;0.85779;
1954;-160625;-20675;183144;-120;480;-360;0.20455;-0.283731;0.805003;
2077;-161415;-18347;181595;-150;480;-300;0.171558;-0.257337;0.772011;
2193;-162122;-16409;180379;-180;480;-270;0.085779;-0.290329;0.864389;
2313;-162700;-14790;179299;-120;510;-330;0.0725823;-0.217747;0.870987;
2439;-163413;-12376;177770;-120;510;-300;0.0527871;-0.138566;1.02275;
2564;-164174;-10326;176536;-150;540;-360;-0.0527871;-0.158361;1.2471;
2689;-164639;-8524;174959;-60;390;-420;-0.00659839;-0.310124;1.06234;
2812;-164776;-6713;173065;30;480;-510;-0.0131968;-0.20455;0.752216;
2932;-164573;-4728;170797;120;360;-450;-0.257337;-0.0395903;0.758815;
3058;-163854;-3884;169380;300;180;-420;-0.36951;0.197952;0.910578;
3179;-162067;-3661;167432;420;30;-450;-0.329919;0.0131968;1.04914;
3296;-160344;-3659;165716;480;0;-420;-0.257337;0.0725823;0.877586;
3414;-158481;-3655;163833;480;0;-510;-0.191353;0.0791807;0.765413;
3534;-157356;-3658;162672;390;0;-390;-0.310124;0.138566;0.791807;
3655;-155013;-3654;160369;480;0;-450;-0.211148;0.118771;0.831397;
3782;-153533;-3654;158869;390;30;-450;-0.224345;0.0659839;0.805003;
3908;-151158;-3645;156499;450;0;-420;-0.191353;0.158361;0.758815;
4035;-149322;-3656;154709;450;0;-420;-0.290329;0.151763;0.831397;
4160;-147629;-3655;153075;420;0;-390;-0.257337;0.158361;0.930373;
4286;-145944;-3677;151507;450;0;-420;-0.20455;0.20455;0.923774;
4402;-144154;-3720;149815;420;30;-390;-0.178156;0.131968;0.930373;
4521;-142399;-3660;148135;420;0;-450;-0.171558;0.217747;0.824799;
4646;-140670;-3677;146280;390;0;-450;-0.277132;0.217747;0.673036;
4772;-138879;-3726;144634;420;-30;-390;-0.277132;0.217747;0.877586;
4893;-137023;-3920;142964;480;0;-450;-0.237542;0.263936;0.805003;
5014;-134728;-4147;140970;480;0;-420;-0.16496;0.310124;0.8182;
