Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
114;-741497;-741497;-741497;0;0;0;0.0197952;0.0197952;0.0197952;
115;-741497;-134362;1019956;0;0;0;0.0197952;0.0527871;0.468486;
112;-741490;-134357;1019948;30;30;-30;-0.085779;-0.0329919;0.633445;
115;-741228;-134191;1019528;0;120;-150;-0.336518;-0.197952;1.02275;
119;-740701;-133732;1018471;90;90;-240;-0.356313;-0.105574;0.903979;
115;-740075;-133284;1017359;150;150;-300;-0.171558;-0.20455;0.831397;
120;-739650;-132945;1016573;150;150;-330;-0.151763;-0.085779;0.752216;
134;-739118;-132561;1015690;150;120;-270;-0.158361;-0.0989758;0.8182;
136;-738223;-131818;1014053;90;60;-180;-0.24414;-0.171558;0.805003;
136;-737584;-131368;1012971;150;60;-270;-0.270534;-0.085779;0.844594;
134;-736899;-131043;1011897;150;60;-240;-0.24414;-0.197952;0.877586;
131;-736190;-130606;1010825;90;150;-210;-0.290329;-0.145165;0.85779;
131;-735610;-130111;1009835;150;90;-210;-0.197952;-0.0659839;0.923774;
128;-735080;-129679;1008817;150;60;-240;-0.250739;-0.112173;0.837995;
121;-734311;-129228;1007559;210;120;-300;-0.171558;-0.0989758;0.785208;
121;-733728;-128861;1006630;210;150;-300;-0.184755;-0.0791807;0.844594;
125;-733055;-128461;1005641;150;90;-240;-0.0923774;-0.118771;0.884184;
122;-732345;-127940;1004405;180;150;-300;-0.0923774;-0.0989758;0.890782;
113;-731949;-127625;1003709;90;180;-240;-0.191353;-0.0791807;0.824799;
114;-731358;-127160;1002503;120;120;-270;-0.290329;-0.131968;0.805003;
142;-730694;-126563;1001193;120;120;-270;-0.349715;-0.112173;0.805003;
123;-730085;-126115;1000190;120;120;-270;-0.277132;-0.085779;0.837995;
124;-729495;-125719;999224;150;120;-240;-0.283731;-0.112173;0.884184;
123;-728927;-125418;998351;150;90;-270;-0.270534;-0.125369;0.877586;
129;-728138;-124934;997154;180;90;-270;-0.211148;-0.0593855;0.903979;
129;-727502;-124363;995897;120;120;-240;-0.283731;-0.105574;0.870987;
129;-726958;-123873;994829;120;150;-270;-0.296927;-0.0923774;0.77861;
132;-726331;-123361;993715;150;120;-270;-0.138566;-0.0527871;0.752216;
133;-725687;-122940;992588;180;120;-330;-0.217747;-0.0923774;0.765413;
129;-724972;-122395;991409;120;120;-270;-0.184755;-0.0923774;0.877586;
133;-724209;-121782;990090;90;120;-210;-0.290329;-0.0989758;0.936971;
132;-723775;-121440;989344;90;90;-210;-0.224345;-0.0659839;0.890782;
133;-723031;-120864;987925;150;120;-270;-0.191353;-0.0791807;0.772011;
124;-722355;-120374;986729;180;120;-270;-0.158361;-0.171558;0.851192;
200;-721502;-119710;985232;120;90;-240;-0.171558;-0.184755;0.785208;
