Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
120;-298241;-298241;-298241;0;0;0;0.0263936;0.0263936;0.0263936;
234;-298177;-166724;413870;30;-30;0;-0.197952;0.329919;0.44869;
349;-297862;-167247;413956;150;-300;90;-0.389305;0.758815;0.085779;
466;-296827;-168985;414574;300;-570;240;-0.277132;0.508076;0.224345;
583;-295728;-170839;415340;330;-540;210;-0.151763;0.4091;0.24414;
700;-294413;-173030;416209;270;-510;210;-0.296927;0.376108;0.316723;
816;-293083;-175085;416904;420;-420;30;-0.217747;0.36951;0.217747;
934;-291321;-176817;416981;210;-300;0;-0.131968;0.290329;0.415698;
1052;-290923;-177368;417123;30;-30;30;-0.125369;0.224345;0.475084;
1183;-291012;-177359;417144;-60;90;-30;0.145165;-0.178156;0.4091;
1305;-291855;-176168;417074;-270;450;-60;0.488281;-0.323321;0.673036;
1436;-293683;-173753;416476;-450;600;-210;0.125369;0.0989758;0.362911;
1561;-295326;-171551;415805;-360;480;-90;0.0395903;0.0461887;0.455289;
1688;-296670;-169638;415340;-330;450;-30;0.343116;-0.0791807;0.521273;
1815;-297942;-167823;414866;-330;450;-150;0.145165;0.0989758;0.468486;
1937;-298420;-166753;414159;60;30;-150;-0.336518;0.158361;0.646642;
2059;-297496;-166764;413313;330;30;-330;-0.534469;0.125369;1.04914;
2175;-295798;-166745;411809;450;0;-390;-0.217747;0.112173;0.8182;
2293;-294012;-166714;410051;420;0;-390;-0.376108;0.283731;0.798405;
2414;-292621;-166685;408634;420;30;-450;-0.580658;0.376108;0.870987;
2540;-290662;-166698;406839;450;-30;-360;-0.772011;0.600453;1.04914;
2667;-289015;-166770;405311;390;0;-360;-0.626847;0.699429;1.14152;
2792;-287253;-166571;403853;420;30;-360;-0.567461;0.560863;1.33947;
2918;-285381;-166356;401915;390;90;-420;-0.923774;0.626847;1.2207;
3041;-283613;-166324;400289;450;0;-390;-0.699429;0.65324;1.20091;
3162;-281828;-166111;398522;420;60;-450;-0.626847;0.389305;1.12173;
3286;-279926;-166074;396667;510;0;-450;-0.73902;0.640044;1.11513;
3400;-278011;-166335;395041;480;-90;-360;-0.587257;0.541068;1.14812;
3524;-276142;-166625;393407;450;-90;-450;-0.699429;0.57406;1.09533;
3649;-274012;-167153;391662;600;-180;-450;-0.197952;0.283731;0.844594;
3781;-271370;-167770;389676;510;-90;-390;-0.171558;0.290329;0.864389;
3899;-269443;-168205;388180;450;-90;-330;-0.376108;0.296927;0.870987;
4023;-267548;-168605;386719;510;-60;-420;-0.263936;0.310124;0.837995;
4160;-265332;-169060;384909;480;-150;-390;-0.224345;0.230944;0.884184;
4274;-263267;-169419;383276;510;-120;-450;-0.131968;0.230944;0.77861;
4393;-261373;-169857;381667;450;-30;-390;-0.277132;0.270534;0.811602;
4518;-259501;-170131;380204;480;-90;-360;-0.303526;0.382707;0.824799;
4643;-257211;-170605;378349;510;-90;-450;-0.277132;0.277132;0.765413;
4769;-255506;-170943;376990;510;-120;-390;-0.145165;0.224345;0.772011;
4894;-253566;-171365;375473;480;-60;-390;-0.237542;0.303526;0.798405;
5011;-251298;-171926;373654;510;-90;-360;-0.191353;0.237542;0.73902;
5131;-249632;-172332;372479;480;-120;-360;-0.296927;0.118771;0.890782;
5257;-247674;-172860;371110;480;-90;-390;-0.230944;0.171558;0.864389;
5374;-245409;-173411;369274;450;-90;-390;-0.303526;0.125369;0.77861;
5490;-243497;-173756;367736;450;-90;-360;-0.224345;0.171558;0.77861;
5608;-241899;-174064;366431;510;-120;-390;-0.283731;0.263936;0.765413;
5730;-239608;-174506;364746;450;-120;-330;-0.230944;0.323321;0.910578;
5855;-237717;-174994;363375;510;-120;-420;-0.356313;0.303526;0.969963;
5980;-235740;-175414;361725;540;-120;-420;-0.191353;0.250739;0.811602;
6105;-233750;-175709;360064;480;-90;-390;-0.184755;0.356313;0.752216;
6232;-231755;-176085;358414;540;-90;-420;-0.158361;0.336518;0.772011;
6354;-229555;-176570;356693;450;-150;-330;-0.336518;0.24414;1.02275;
6470;-228332;-176885;355834;480;-120;-300;-0.316723;0.283731;1.02275;
6587;-225733;-177507;353799;510;-120;-420;-0.230944;0.178156;0.837995;
6705;-223661;-177936;352153;540;-90;-420;-0.184755;0.217747;0.811602;
6824;-222065;-178261;350872;480;-90;-450;-0.237542;0.283731;0.77861;
6949;-220214;-178574;349319;450;-60;-390;-0.270534;0.184755;0.811602;
7068;-218028;-179049;347674;510;-150;-390;-0.211148;0.237542;0.969963;
7193;-216042;-179509;346101;540;-120;-390;-0.158361;0.263936;0.791807;
7317;-214066;-179908;344513;450;-90;-360;-0.197952;0.237542;0.758815;
7443;-212156;-180353;343002;450;-120;-330;-0.290329;0.217747;0.732421;
7569;-209918;-180892;341263;480;-90;-360;-0.303526;0.171558;0.73902;
7693;-207961;-181392;339924;480;-60;-330;-0.197952;0.158361;0.903979;
7834;-206131;-181825;338526;450;-150;-330;-0.343116;0.191353;0.851192;
7957;-203940;-182283;336829;450;-60;-360;-0.475084;0.389305;0.791807;
8082;-201998;-182727;335316;510;-150;-360;-0.224345;0.257337;0.758815;
8201;-199908;-183223;333744;600;-120;-390;-0.230944;0.36951;0.706028;
8319;-197871;-183789;332319;450;-150;-300;-0.257337;0.376108;0.805003;
8439;-196075;-184266;331039;450;-90;-360;-0.310124;0.4091;0.910578;
8558;-194206;-184709;329586;510;-90;-390;-0.402502;0.336518;0.870987;
8680;-192242;-185198;328066;540;-180;-390;-0.250739;0.303526;0.758815;
8796;-189796;-185888;326279;510;-120;-360;-0.178156;0.277132;0.692831;
8913;-188271;-186412;325321;390;-210;-180;-0.171558;0.455289;0.61365;
9028;-186858;-187747;325129;300;-480;30;-0.217747;0.659839;0.16496;
9153;-186061;-189399;325711;240;-510;210;-0.105574;0.250739;0.224345;
9273;-185092;-191740;327085;180;-510;330;-0.0461887;0.329919;0.118771;
9392;-184282;-193638;328231;210;-510;300;-0.0395903;0.402502;0.145165;
9510;-183499;-195635;329423;210;-540;300;-0.0197952;0.402502;0.0593855;
9627;-182802;-197645;330648;180;-570;330;-0.131968;0.310124;0.0329919;
9748;-182106;-199708;332027;180;-510;330;-0.131968;0.336518;0.158361;
9875;-181547;-201313;333090;180;-510;300;-0.158361;0.501478;0.0791807;
9997;-180701;-203616;334558;210;-480;300;-0.0527871;0.4091;0.158361;
10115;-179892;-205731;335867;180;-540;360;-0.125369;0.290329;0.125369;
10231;-179072;-207795;337136;150;-480;330;-0.0461887;0.395903;0.112173;
10349;-178438;-209462;338166;210;-510;330;-0.0989758;0.356313;0.112173;
10465;-177548;-211819;339655;180;-540;330;-0.0527871;0.428895;0.237542;
10588;-176735;-213920;340911;210;-540;330;-0.0659839;0.270534;0.158361;
10703;-175971;-215560;341865;240;-480;240;-0.00659839;0.514674;0.085779;
10818;-175061;-217802;343104;150;-510;330;-0.0659839;0.468486;-0.0197952;
10935;-174386;-219473;344110;210;-510;330;-0.0923774;0.323321;0.138566;
11062;-173553;-221867;345558;150;-510;300;-0.211148;0.316723;0.178156;
11180;-172945;-223455;346602;210;-480;330;-0.171558;0.455289;0.0659839;
11298;-172421;-224709;347401;180;-480;330;-0.112173;0.461887;0.0923774;
11416;-171390;-227423;349102;180;-540;330;-0.112173;0.323321;0.138566;
11533;-170642;-229527;350340;150;-480;300;-0.16496;0.303526;0.151763;
11649;-169876;-231472;351577;150;-450;330;-0.0725823;0.36951;0.112173;
11772;-169134;-233418;352873;150;-510;330;-0.0395903;0.356313;0.0923774;
11898;-168600;-235314;354124;60;-450;330;-0.250739;0.57406;0;
12013;-168013;-237257;355333;150;-480;300;-0.197952;0.323321;0.0263936;
12133;-167420;-238905;356459;210;-480;330;-0.296927;0.475084;0.158361;
12250;-166844;-241009;357881;150;-480;270;-0.580658;0.692831;-0.105574;
12367;-166365;-242566;358765;180;-450;240;-0.640044;0.772011;-0.20455;
12485;-165671;-244366;359656;210;-450;150;-0.745618;0.837995;-0.77861;
12601;-165013;-245999;360423;240;-510;240;-0.725823;0.837995;-0.8182;
12718;-164252;-248117;361711;180;-420;270;-0.844594;1.09533;-0.996357;
12834;-163266;-250001;362703;210;-480;270;-0.745618;1.04255;-0.94357;
12951;-162669;-251998;363998;180;-450;360;-1.12173;0.969963;-0.620248;
13069;-161680;-253551;364900;330;-570;150;-0.692831;1.12173;-1.06234;
13188;-160635;-256042;366055;210;-480;240;-0.923774;1.06894;-0.679634;
13312;-159464;-257971;366831;240;-510;210;-0.699429;0.798405;-1.16132;
13439;-158584;-259576;367582;270;-510;240;-0.640044;1.28669;-0.996357;
13563;-157342;-261974;368582;240;-450;330;-0.930373;0.903979;-0.686232;
13681;-155846;-264383;370308;360;-630;390;-0.303526;0.765413;0.138566;
13796;-154562;-266609;371344;360;-690;270;-0.125369;0.336518;0.178156;
13923;-153147;-268940;372399;330;-600;210;-0.184755;0.217747;0.382707;
14048;-151630;-271276;373271;270;-510;180;-0.125369;0.442092;0.323321;
14174;-150410;-273226;373924;300;-510;180;-0.20455;0.343116;0.211148;
14289;-149169;-275237;374684;360;-480;150;-0.310124;0.376108;0.329919;
14405;-147896;-277271;375357;390;-540;180;-0.296927;0.362911;0.230944;
14524;-146700;-278896;375846;330;-480;150;-0.290329;0.428895;0.237542;
14645;-145382;-280804;376485;300;-480;150;-0.356313;0.554265;0.323321;
14762;-143746;-283185;377226;330;-510;150;-0.158361;0.310124;0.277132;
14877;-142540;-284951;377737;300;-510;180;-0.125369;0.257337;0.270534;
14998;-141251;-287015;378484;330;-510;180;-0.16496;0.36951;0.310124;
15123;-139903;-288946;379108;330;-510;180;-0.217747;0.395903;0.250739;
15246;-138569;-290936;379734;300;-480;150;-0.184755;0.323321;0.290329;
15370;-136754;-293764;380734;330;-480;150;-0.158361;0.36951;0.336518;
15489;-135297;-295829;381400;360;-510;210;-0.0395903;0.475084;0.250739;
15611;-134170;-297540;381975;300;-510;150;-0.237542;0.4091;0.296927;
15732;-133114;-299253;382586;360;-510;210;-0.217747;0.395903;0.250739;
15849;-131533;-301714;383407;360;-510;120;-0.171558;0.257337;0.211148;
15967;-130089;-303640;383992;360;-450;150;-0.0923774;0.415698;0.277132;
16085;-129429;-304516;384264;270;-420;150;-0.217747;0.57406;0.303526;
16204;-127732;-307313;385310;210;-450;210;-0.0659839;0.296927;0.316723;
16322;-127445;-308387;386082;0;-330;240;0.257337;-0.0923774;0.184755;
16441;-128163;-308884;387321;-360;-30;390;0.65324;0.0461887;-0.0395903;
16557;-129947;-308894;389163;-540;0;510;0.356313;0.0263936;0.0461887;
16675;-131884;-308895;391061;-450;0;450;0.323321;-0.0197952;0.191353;
16794;-133684;-308898;392877;-510;0;450;0.343116;0.0131968;0.0131968;
16916;-135504;-308900;394643;-450;0;450;0.316723;-0.0725823;0.0527871;
17035;-137124;-308907;396342;-420;0;420;0.44869;0.0659839;0.0659839;
17150;-138871;-308911;398030;-450;0;420;0.362911;0.0725823;0.0395903;
17267;-140280;-308914;399495;-420;0;480;0.4091;0.0791807;0.0527871;
17391;-142376;-308927;401505;-450;0;390;0.323321;0.0527871;0.0197952;
17510;-144136;-308927;403266;-420;0;420;0.402502;0.0197952;0.085779;
