Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
145;-13221;-13221;-13221;0;0;0;0.0197952;0.0197952;0.0197952;
265;-13242;-404;13861;-30;0;0;0.105574;0.0791807;0.263936;
384;-13601;-407;14069;-60;0;120;0.402502;0.0593855;0.0197952;
510;-14105;-406;14582;-180;0;210;0.428895;0.0659839;-0.0659839;
683;-15472;-408;16039;-240;0;210;0.362911;0.0923774;0.0659839;
801;-16171;-408;16762;-180;0;210;0.402502;0.0527871;0.105574;
922;-17028;-406;17652;-240;0;180;0.422297;0.0659839;0.0263936;
1057;-18023;-405;18576;-210;0;210;0.442092;0.0527871;0.0725823;
1177;-18792;-404;19376;-210;0;180;0.481682;0.0659839;-0.0659839;
1302;-19592;-415;20187;-240;0;180;0.4091;0.0659839;-0.0725823;
1420;-20426;-410;21023;-210;30;180;0.336518;0.0659839;0.16496;
1540;-21507;-408;22019;-240;0;240;0.263936;0.0659839;0.0659839;
1660;-22215;-412;22718;-180;0;210;0.329919;0.118771;-0.0725823;
1786;-23006;-416;23600;-180;0;210;0.36951;0.112173;0.0263936;
1913;-23818;-422;24448;-180;0;210;0.442092;0.158361;-0.0527871;
2030;-24740;-418;25416;-210;0;180;0.428895;0.112173;-0.0659839;
2151;-25625;-418;26267;-210;0;180;0.362911;0.118771;0.0791807;
2269;-26527;-414;27147;-240;0;210;0.4091;0.0923774;-0.00659839;
2389;-27399;-412;28004;-180;0;210;0.422297;0.0527871;0.0791807;
2514;-28277;-412;28888;-240;0;210;0.422297;0.0923774;-0.0461887;
2637;-29213;-426;29788;-210;30;210;0.303526;0.0593855;0.105574;
2755;-30297;-419;30835;-270;0;240;0.329919;0.118771;0.0395903;
2871;-31000;-419;31536;-210;0;210;0.343116;0.0593855;0.0461887;
2991;-31801;-420;32374;-180;0;210;0.435494;0.0923774;-0.0923774;
3115;-32547;-421;33190;-210;0;180;0.501478;0.138566;-0.0791807;
3232;-33400;-425;34075;-210;0;210;0.376108;0.145165;0.0395903;
3351;-34314;-428;34969;-270;0;180;0.4091;0.145165;-0.0131968;
3467;-35237;-429;35909;-240;0;180;0.336518;0.138566;-0.0131968;
3583;-36001;-433;36688;-210;0;210;0.323321;0.16496;0.0329919;
3698;-37044;-462;37730;-270;0;240;0.376108;0.191353;-0.0131968;
3816;-37820;-462;38442;-270;30;180;0.356313;0.125369;-0.0659839;
3932;-38414;-469;39025;-180;-30;240;0.329919;0.197952;-0.00659839;
4049;-39674;-522;40351;-210;0;210;0.382707;0.118771;-0.0263936;
4166;-40089;-537;40791;-210;0;210;0.36951;0.145165;0.0923774;
4284;-41162;-538;41914;-210;0;210;0.435494;0.158361;-0.158361;
4400;-42071;-527;42727;-240;-30;210;0.323321;0.151763;-0.0725823;
4517;-42747;-531;43434;-210;0;180;0.343116;0.0989758;-0.0725823;
4636;-43519;-541;44261;-180;0;180;0.395903;0.131968;0.0263936;
4762;-44299;-549;45120;-240;0;210;0.475084;0.0725823;-0.0461887;
4886;-45175;-556;45974;-210;-30;240;0.323321;0.138566;-0.0659839;
5011;-46225;-561;47025;-210;0;240;0.329919;0.0791807;0.0131968;
5137;-47124;-569;47959;-210;0;210;0.356313;0.0791807;-0.0131968;
5260;-48148;-582;49062;-210;0;270;0.435494;0.197952;0.0395903;
5382;-49040;-585;50016;-270;0;240;0.44869;0.224345;-0.0263936;
5507;-49863;-577;50776;-240;0;240;0.329919;0.131968;0.0659839;
5632;-50948;-560;51870;-240;0;240;0.36951;0.0659839;-0.0923774;
5759;-51785;-560;52727;-240;0;210;0.455289;0.0659839;-0.0659839;
5882;-52789;-563;53713;-270;-30;240;0.382707;0.118771;-0.0593855;
6008;-53731;-565;54597;-240;0;240;0.323321;0.0923774;-0.0659839;
6133;-54608;-571;55516;-210;0;240;0.349715;0.0923774;-0.0131968;
6254;-55507;-576;56481;-240;0;270;0.336518;0.105574;0.0197952;
6376;-56431;-577;57475;-180;0;240;0.336518;0.145165;0.125369;
6500;-57314;-584;58368;-240;0;210;0.362911;0.184755;0.0197952;
6626;-58145;-583;59141;-150;0;180;0.376108;0.125369;-0.171558;
6771;-59141;-572;60075;-180;0;180;0.362911;0.0593855;0.0197952;
6891;-60059;-581;61034;-180;0;240;0.44869;0.138566;0.0395903;
7026;-60833;-639;61868;-210;0;240;0.435494;0.085779;-0.145165;
7147;-61885;-642;62894;-240;0;240;0.303526;0.0527871;-0.0659839;
7260;-62754;-644;63824;-240;0;240;0.356313;0.0527871;0.0395903;
7385;-63583;-645;64708;-240;0;210;0.475084;0.0791807;-0.0527871;
7516;-64422;-645;65611;-240;0;270;0.468486;0.0659839;-0.0131968;
7647;-65377;-645;66520;-270;0;240;0.336518;0.085779;0.0659839;
7778;-66467;-641;67550;-210;0;240;0.336518;0.138566;-0.0131968;
7903;-67348;-645;68446;-210;0;180;0.389305;0.0989758;-0.0527871;
8027;-68144;-672;69374;-150;0;240;0.508076;0.0593855;-0.0791807;
8154;-69161;-674;70435;-210;0;210;0.356313;0.158361;-0.112173;
8280;-70018;-677;71290;-240;0;240;0.4091;0.16496;0.0263936;
8410;-70840;-688;72162;-210;-30;210;0.415698;0.131968;-0.0395903;
8531;-71772;-698;73155;-180;0;180;0.455289;0.0923774;0;
8651;-72525;-700;73943;-240;0;180;0.508076;0.138566;-0.0527871;
8769;-73392;-697;74738;-270;30;240;0.442092;0.105574;-0.0461887;
8886;-74322;-702;75680;-240;0;210;0.356313;0.158361;0.00659839;
9003;-75099;-701;76456;-240;0;180;0.310124;0.0527871;0.0395903;
9121;-76091;-697;77510;-270;0;210;0.422297;0.0989758;0.0131968;
9239;-76828;-705;78231;-240;0;210;0.4091;0.125369;-0.0527871;
9357;-77944;-709;79292;-240;0;300;0.343116;0.138566;-0.0263936;
9476;-78862;-728;80296;-180;-30;240;0.4091;0.16496;0.0263936;
9595;-79572;-728;81108;-210;0;240;0.461887;0.0659839;-0.00659839;
9711;-80455;-722;82063;-240;0;210;0.44869;0.105574;0.0197952;
9827;-81423;-717;82972;-240;0;210;0.389305;0.0923774;-0.0263936;
9945;-82243;-716;83798;-210;0;240;0.263936;0.145165;0.0989758;
10062;-83012;-717;84576;-240;0;240;0.389305;0.105574;0.0659839;
10177;-84120;-778;85827;-210;0;240;0.461887;0.0659839;0.0725823;
10298;-84903;-780;86530;-180;0;210;0.356313;0.105574;0.0263936;
10416;-85881;-811;87542;-120;0;210;0.422297;0.131968;0;
10531;-86479;-836;88211;-180;0;210;0.415698;0.178156;-0.171558;
10647;-87261;-901;89094;-210;0;270;0.468486;0.112173;-0.0527871;
10760;-88091;-913;90046;-180;-30;210;0.422297;0.211148;0;
10878;-88957;-912;90892;-180;0;210;0.382707;0.211148;-0.171558;
10998;-89654;-909;91618;-210;0;240;0.428895;0.184755;-0.131968;
11120;-90508;-914;92497;-240;0;240;0.415698;0.197952;0.00659839;
11238;-91309;-964;93445;-210;0;240;0.475084;0.125369;-0.0131968;
11357;-92204;-984;94444;-210;0;180;0.442092;0.085779;-0.0923774;
11482;-92939;-981;95068;-210;0;240;0.402502;0.0989758;0.0131968;
11608;-93746;-989;95916;-210;0;180;0.362911;0.0725823;-0.131968;
11728;-94552;-1015;96789;-180;-30;240;0.422297;0.0989758;0.112173;
11851;-95515;-1142;97892;-210;-30;270;0.4091;0.0659839;-0.0725823;
11975;-96286;-1154;98764;-240;0;210;0.547666;0.125369;-0.0527871;
12098;-97087;-1155;99586;-180;0;210;0.554265;0.158361;-0.0395903;
12221;-97962;-1155;100442;-240;0;210;0.44869;0.16496;-0.138566;
12351;-98904;-1154;101398;-180;0;240;0.435494;0.145165;-0.112173;
12467;-100023;-1153;102510;-240;0;240;0.428895;0.171558;-0.0263936;
12585;-100992;-1163;103449;-240;-30;240;0.323321;0.224345;-0.178156;
12709;-101974;-1222;104452;-210;-30;210;0.277132;0.131968;-0.0197952;
12835;-102849;-1243;105427;-240;0;240;0.362911;0.0923774;-0.0989758;
12961;-103838;-1237;106432;-210;0;150;0.402502;0.0791807;-0.171558;
13086;-104472;-1232;107091;-210;0;180;0.402502;0.125369;-0.0989758;
13213;-105309;-1223;107876;-240;-30;210;0.389305;0.217747;-0.310124;
13351;-106236;-1249;108909;-240;0;180;0.4091;0.131968;-0.191353;
13469;-107201;-1315;109941;-180;-30;210;0.389305;0.151763;-0.125369;
13591;-108081;-1388;110854;-210;-30;240;0.389305;0.16496;-0.0923774;
13714;-108995;-1397;111832;-240;0;270;0.277132;0.224345;0.00659839;
13840;-109989;-1411;112864;-240;0;240;0.290329;0.217747;0.0395903;
13966;-110887;-1503;113891;-180;0;240;0.310124;0.0791807;0.0593855;
14090;-111857;-1550;114970;-210;0;210;0.382707;0.145165;-0.0461887;
14215;-112741;-1556;115827;-240;0;240;0.323321;0.0989758;-0.00659839;
14335;-113606;-1597;116712;-210;0;210;0.395903;0.0791807;-0.0989758;
14456;-114556;-1646;117816;-210;0;240;0.435494;0.0989758;0.0593855;
14574;-115267;-1647;118580;-270;0;270;0.435494;0.0791807;-0.0131968;
14693;-116116;-1649;119453;-180;0;210;0.402502;0.105574;-0.0461887;
14819;-117053;-1651;120353;-270;0;240;0.36951;0.125369;-0.00659839;
14949;-118045;-1648;121322;-300;0;270;0.362911;0.0659839;0.0989758;
15071;-119119;-1649;122439;-180;0;180;0.270534;0.178156;0.0593855;
15189;-119810;-1651;123156;-180;0;210;0.376108;0.211148;-0.0593855;
15307;-120638;-1664;124090;-180;0;210;0.514674;0.171558;-0.0197952;
15422;-121429;-1725;124890;-180;0;210;0.336518;0.145165;0.00659839;
15539;-122109;-1802;125659;-180;0;240;0.343116;0.0659839;0;
15660;-123050;-1818;126652;-210;0;150;0.4091;0.0659839;0.00659839;
15785;-123689;-1828;127314;-180;-30;240;0.402502;0.105574;0.0593855;
15910;-124551;-1898;128214;-240;0;210;0.415698;0.0659839;-0.0461887;
16035;-125644;-1907;129352;-210;0;240;0.230944;0.211148;0.0527871;
16165;-126570;-1920;130362;-270;0;240;0.303526;0.20455;0.0131968;
16291;-127481;-2040;131415;-210;0;210;0.329919;0.20455;-0.0725823;
16419;-128234;-2152;132292;-240;0;240;0.310124;0.20455;0.0725823;
16544;-129010;-2152;133218;-210;0;240;0.343116;0.178156;0.085779;
16668;-129875;-2158;134111;-210;0;270;0.329919;0.20455;0.0395903;
16792;-130850;-2254;135176;-210;-60;240;0.310124;0.158361;0.0329919;
16918;-131720;-2294;136162;-240;0;300;0.323321;0.0923774;0.0527871;
17046;-132632;-2305;137121;-210;0;270;0.250739;0.131968;0.105574;
17171;-133580;-2311;138069;-240;0;210;0.138566;0.105574;0.178156;
17296;-134614;-2361;139164;-150;0;180;0.197952;0.138566;0.0593855;
17420;-135416;-2407;140202;-180;-30;180;0.422297;0.158361;-0.0395903;
17544;-136033;-2418;140918;-240;0;210;0.44869;0.250739;-0.0329919;
17661;-136880;-2404;141832;-210;0;240;0.316723;0.118771;0.131968;
