Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
120;-297518;-297518;-297518;0;0;0;0.0131968;0.0131968;0.0131968;
238;-297523;-101493;346950;-30;-30;30;0.0725823;0.24414;0.171558;
354;-297589;-101792;347427;0;-60;90;0.0131968;0.376108;0.0395903;
470;-297594;-101925;347859;0;-120;240;0.0923774;0.765413;-0.415698;
589;-297602;-102455;348555;30;-390;390;0.0197952;0.890782;-0.118771;
706;-297669;-104945;351079;-30;-480;480;0.00659839;0.415698;0.118771;
837;-297701;-107009;353278;0;-450;420;0.131968;0.422297;0.191353;
952;-297771;-108477;354751;0;-450;450;0.0923774;0.316723;0.178156;
1073;-297835;-109695;355984;-30;-420;450;0.0791807;0.290329;0.184755;
1190;-297975;-112094;358667;-30;-390;450;0.230944;0.587257;-0.112173;
1311;-298039;-113214;359812;-60;-420;450;0.191353;0.422297;0.0395903;
1436;-298221;-115265;361997;-30;-450;510;0.16496;0.481682;0.0989758;
1560;-298405;-117123;364004;-60;-510;540;0.125369;0.283731;0.191353;
1680;-298625;-119113;366302;-120;-390;450;0.151763;0.422297;0.151763;
1797;-298897;-120731;368148;-120;-390;480;0.0791807;0.428895;0.0395903;
1916;-299102;-122137;369740;-90;-390;480;0.0395903;0.501478;0.118771;
2032;-299243;-124087;371882;-30;-420;480;0.131968;0.329919;0.184755;
2149;-299365;-125608;373449;-60;-450;420;0.105574;0.197952;0.230944;
2276;-299453;-127217;375204;0;-360;420;0.171558;0.389305;0.0659839;
2403;-299724;-128987;377227;-30;-360;390;0.0791807;0.468486;0.0923774;
2522;-299906;-130037;378453;-60;-420;450;0;0.593855;0.145165;
2678;-300131;-132316;380917;-30;-480;480;0.105574;0.356313;0.125369;
2798;-300275;-134676;383432;0;-390;450;0.145165;0.376108;0.0989758;
2935;-300460;-136237;385254;0;-390;420;0.112173;0.501478;0.131968;
3082;-300729;-138132;387347;-30;-390;450;0.0461887;0.428895;0.138566;
3202;-300925;-140209;389565;-120;-450;510;-0.0131968;0.362911;0.20455;
3338;-301143;-141866;391352;-60;-450;450;-0.0329919;0.481682;0;
3474;-301389;-143761;393588;-60;-450;450;-0.0923774;0.620248;0.131968;
3610;-301518;-145478;395440;-30;-420;480;0.0263936;0.422297;0.131968;
3744;-301586;-147603;397659;-30;-480;450;0.00659839;0.428895;0.0989758;
3882;-301937;-149248;399506;-120;-330;390;-0.211148;1.03595;-0.303526;
4013;-302198;-150940;401349;-30;-330;390;-0.178156;1.00955;-0.415698;
4130;-302322;-152385;402916;-60;-360;390;-0.211148;1.08214;-0.620248;
4250;-302422;-154069;404604;0;-390;420;-0.250739;1.18771;-0.435494;
4378;-302393;-155654;406135;60;-360;360;-0.24414;1.10193;-0.8182;
4497;-302442;-157325;407719;-30;-570;420;-0.4091;1.28009;-0.752216;
4625;-302420;-159247;409496;0;-450;330;-0.57406;1.43845;-0.870987;
4751;-302210;-161149;411091;90;-480;420;-0.805003;1.12832;-0.640044;
4876;-301697;-162958;412687;180;-420;360;-0.475084;1.37246;-0.758815;
5001;-300908;-165221;414003;330;-480;210;-0.765413;1.37246;-0.659839;
5126;-299988;-166897;414647;300;-450;210;-0.725823;1.29988;-0.930373;
5253;-298502;-169230;415628;390;-540;240;-0.646642;1.15472;-0.36951;
5380;-296594;-171625;416529;480;-660;150;-0.191353;0.805003;0.0263936;
5509;-294901;-174278;417371;510;-600;330;-0.20455;0.329919;0.527871;
5628;-293064;-176462;417846;330;-420;60;-0.131968;0.16496;0.461887;
5749;-291572;-177994;417890;390;-330;-30;-0.277132;0.475084;0.442092;
5865;-290279;-179113;417854;120;-60;0;0.0131968;0.125369;0.600453;
5982;-290140;-179172;417838;-30;60;0;0.16496;-0.158361;0.65324;
6100;-290669;-178368;417587;-240;390;-120;0.316723;-0.501478;0.73902;
6214;-291826;-176456;416907;-300;510;-240;0.197952;-0.184755;0.692831;
