Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
121;-747093;-747093;-747093;0;0;0;0.0131968;0.0131968;0.0131968;
118;-747093;-157973;1030076;0;30;0;0.00659839;-0.0527871;0.626847;
116;-746940;-157861;1029792;60;30;-90;-0.323321;-0.178156;0.996357;
115;-746710;-157773;1029410;60;120;-180;-0.442092;-0.211148;1.11513;
119;-745921;-157360;1028205;150;120;-270;-0.343116;-0.145165;0.877586;
117;-745174;-157009;1027135;180;90;-270;-0.211148;-0.171558;0.910578;
114;-744433;-156661;1026038;150;60;-240;-0.211148;-0.151763;0.732421;
114;-743951;-156395;1025309;150;60;-270;-0.237542;-0.118771;0.745618;
115;-743410;-156067;1024397;150;90;-240;-0.171558;-0.230944;0.745618;
115;-742517;-155576;1023051;150;60;-210;-0.16496;-0.257337;0.798405;
115;-741840;-155311;1022142;150;90;-210;-0.131968;-0.277132;0.897381;
115;-741342;-155046;1021459;180;60;-270;-0.16496;-0.20455;0.969963;
113;-740702;-154728;1020451;120;90;-270;-0.20455;-0.118771;0.851192;
119;-740239;-154440;1019772;180;120;-210;-0.145165;-0.0527871;0.890782;
122;-739677;-154021;1018762;90;90;-210;-0.20455;-0.0791807;0.890782;
119;-738832;-153488;1017300;150;120;-270;-0.237542;-0.0659839;0.811602;
117;-738294;-153192;1016389;150;120;-270;-0.224345;-0.085779;0.8182;
116;-737760;-152834;1015549;180;60;-210;-0.36951;-0.0593855;0.785208;
123;-737156;-152490;1014585;180;60;-270;-0.250739;-0.105574;0.837995;
114;-736443;-152126;1013624;210;90;-300;-0.191353;-0.105574;0.890782;
131;-735764;-151826;1012530;210;90;-270;-0.217747;-0.277132;0.811602;
115;-734895;-151346;1011166;120;120;-240;-0.191353;-0.20455;0.884184;
113;-734599;-151229;1010711;180;60;-270;-0.237542;-0.257337;0.870987;
115;-733667;-150716;1009297;120;120;-210;-0.197952;-0.171558;0.824799;
115;-733339;-150565;1008781;150;30;-180;-0.112173;-0.237542;0.77861;
117;-732445;-150059;1007483;90;90;-210;-0.230944;-0.178156;0.837995;
113;-732154;-149836;1006966;150;90;-270;-0.184755;-0.224345;0.864389;
116;-731296;-149210;1005492;120;150;-210;-0.211148;-0.105574;0.877586;
115;-730970;-148922;1004809;60;120;-240;-0.290329;-0.158361;0.844594;
113;-730538;-148591;1003985;150;180;-240;-0.303526;-0.171558;0.851192;
116;-729950;-148160;1002996;90;120;-270;-0.270534;-0.125369;0.844594;
119;-729239;-147654;1001823;180;120;-240;-0.20455;-0.0989758;0.884184;
413;-727174;-146233;998348;60;90;-180;-0.323321;-0.118771;0.936971;
