Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
276;-64209;-64209;-64209;0;0;0;0.0197952;0.0197952;0.0197952;
128;-64317;-19924;160837;-120;90;0;0.336518;-0.112173;0.323321;
128;-64752;-19702;160859;-180;90;60;0.442092;-0.336518;0.112173;
131;-65721;-19094;161170;-210;180;60;0.303526;-0.329919;0.283731;
126;-66672;-18406;161418;-210;180;30;0.290329;-0.310124;0.178156;
118;-67590;-17720;161647;-300;180;60;0.382707;-0.257337;0.085779;
115;-68712;-16942;162006;-240;150;120;0.389305;-0.349715;0.230944;
150;-69947;-16163;162493;-300;180;150;0.277132;-0.36951;0.277132;
126;-71070;-15508;162940;-300;180;90;0.250739;-0.230944;0.329919;
123;-72155;-14885;163424;-270;120;150;0.277132;-0.24414;0.224345;
117;-73146;-14251;163899;-270;150;90;0.323321;-0.158361;0.217747;
495;-77422;-11984;165722;-270;120;120;0.277132;-0.263936;0.217747;
