Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
140;0;0;0;0;0;0;0;0;0;
258;0;0;0;0;0;0;0;0;0;
382;0;0;0;0;0;0;0;0;0;
504;0;0;0;0;0;0;0;0;0;
620;0;0;0;0;0;0;0;0;0;
736;0;0;0;0;0;0;0;0;0;
856;0;0;0;0;0;0;0;0;0;
972;0;0;0;0;0;0;0;0;0;
1091;0;0;0;0;0;0;0;0;0;
1222;0;0;0;0;0;0;0;0;0;
1350;0;0;0;0;0;0;0;0;0;
1474;0;0;0;0;0;0;0;0;0;
1596;0;0;0;0;0;0;0;0;0;
1720;0;0;0;0;0;0;0;0;0;
1844;0;0;0;0;0;0;0;0;0;
1970;58725;-36294;-45606;-120;0;60;0.356313;0.0659839;0.0659839;
2085;58036;-36288;-44912;-300;0;360;0.673036;0.125369;-0.303526;
2202;56226;-36289;-43131;-480;0;510;0.230944;0.085779;0.151763;
2320;54289;-36290;-41198;-450;0;480;0.211148;0.0989758;0.178156;
2435;52450;-36289;-39396;-450;0;480;0.24414;0.0923774;0.0329919;
2551;50608;-36287;-37528;-420;0;420;0.237542;0.112173;0.277132;
2671;49173;-36285;-36121;-420;0;420;0.263936;0.0725823;0.0923774;
2795;47225;-36288;-34114;-420;0;450;0.283731;0.0989758;0.131968;
2917;45426;-36292;-32334;-420;0;450;0.230944;0.112173;0.178156;
3035;43578;-36284;-30498;-480;0;510;0.191353;0.125369;0.283731;
3157;41867;-36291;-28714;-390;0;450;0.323321;0.125369;0.125369;
3284;40207;-36295;-27086;-420;0;420;0.362911;0.125369;0.0659839;
3409;38449;-36296;-25319;-420;-30;450;0.217747;0.131968;0.16496;
3543;36622;-36296;-23524;-450;0;480;0.277132;0.125369;0.191353;
3664;34484;-36283;-21372;-450;0;390;0.158361;0.0659839;0.20455;
3783;32784;-36285;-19671;-420;0;420;0.329919;0.0659839;0.0395903;
3904;30784;-36296;-17587;-390;-30;420;0.277132;0.125369;0.184755;
4030;29297;-36298;-16084;-480;0;450;0.24414;0.118771;0.145165;
4156;27144;-36296;-13929;-420;-30;450;0.217747;0.171558;0.0395903;
4275;25353;-36298;-12163;-420;0;480;0.257337;0.145165;0.0989758;
4395;23910;-36299;-10699;-420;0;450;0.376108;0.125369;-0.0197952;
4511;22473;-36317;-9202;-420;0;450;0.237542;0.197952;0.085779;
4643;20369;-36321;-7124;-480;0;450;0.303526;0.151763;0.151763;
4767;18266;-36341;-4948;-450;0;480;0.211148;0.211148;0.0725823;
4882;16292;-36395;-2918;-480;0;480;0.36951;0.151763;-0.0263936;
5001;14778;-36429;-1355;-480;-30;510;0.316723;0.171558;0.131968;
5123;12964;-36436;421;-420;0;420;0.112173;0.257337;0.118771;
5249;11201;-36438;2238;-420;0;420;0.24414;0.257337;0.16496;
5373;9284;-36436;4112;-480;0;420;0.263936;0.237542;-0.0659839;
5498;7813;-36436;5558;-450;0;510;0.290329;0.237542;-0.0395903;
5622;6076;-36438;7316;-480;0;480;0.263936;0.237542;-0.0395903;
5739;4611;-36441;8775;-450;0;420;0.310124;0.184755;0.131968;
5856;2249;-36444;11191;-420;0;450;0.24414;0.211148;0.184755;
5976;797;-36444;12653;-450;0;450;0.296927;0.277132;0.105574;
6097;-1300;-36444;14736;-450;0;420;0.191353;0.191353;0.197952;
6223;-3432;-36447;16820;-450;0;510;0.224345;0.230944;0.0593855;
6340;-4895;-36453;18392;-480;0;480;0.310124;0.217747;0.211148;
6464;-6652;-36454;20135;-480;0;420;0.389305;0.237542;0.0329919;
6578;-8372;-36453;21831;-480;0;450;0.422297;0.224345;-0.0329919;
6694;-10161;-36453;23605;-510;0;450;0.290329;0.250739;0.0725823;
6814;-11690;-36454;25101;-420;-30;480;0.16496;0.250739;0.197952;
6935;-13741;-36438;27243;-390;0;420;0.296927;0.0659839;0.16496;
7051;-15385;-36444;28941;-450;0;420;0.382707;0.0791807;0.16496;
7170;-17128;-36447;30726;-450;0;450;0.395903;0.138566;0.237542;
7296;-18956;-36434;32476;-450;0;390;0.191353;0.138566;0.20455;
7418;-20776;-36438;34294;-450;0;450;0.197952;0.112173;0.131968;
7534;-22498;-36438;36000;-420;0;420;0.310124;0.112173;0.0593855;
7658;-24154;-36442;37699;-450;0;420;0.428895;0.0725823;0.0659839;
7794;-25996;-36442;39501;-450;0;450;0.237542;0.0659839;0.211148;
7933;-27873;-36426;41318;-480;0;450;0.24414;0.0791807;0.0461887;
8069;-30216;-36436;43753;-420;0;360;0.323321;0.0989758;0.0659839;
8189;-31913;-36439;45444;-420;0;390;0.323321;0.112173;0.171558;
8303;-33963;-36442;47493;-420;0;450;0.270534;0.191353;0.158361;
8423;-35509;-36440;48990;-450;0;450;0.191353;0.085779;0.20455;
8540;-37575;-36439;51120;-450;0;480;0.316723;0.184755;0.125369;
8660;-39268;-36439;52830;-420;0;420;0.349715;0.197952;-0.0329919;
8777;-40725;-36441;54261;-480;0;450;0.290329;0.118771;0.0923774;
8893;-42537;-36441;56063;-480;0;450;0.24414;0.112173;0.0263936;
9012;-43713;-36443;57231;-450;0;420;0.24414;0.0923774;0.217747;
9131;-46108;-36436;59627;-450;0;420;0.343116;0.105574;0.125369;
9250;-47799;-36439;61331;-420;0;420;0.316723;0.0659839;0.0527871;
9373;-49567;-36436;63068;-420;0;390;0.237542;0.112173;0.0659839;
9498;-51309;-36435;64725;-420;0;420;0.277132;0.0659839;0.0923774;
9624;-53064;-36435;66535;-450;0;450;0.303526;0.0791807;0.0725823;
9744;-54846;-36428;68252;-480;0;420;0.376108;0.0791807;0.0263936;
9861;-56567;-36436;70083;-420;0;450;0.316723;0.184755;0.0263936;
9977;-58422;-36436;71901;-480;0;450;0.224345;0.20455;0.0329919;
10096;-60260;-36440;73754;-420;-30;480;0.230944;0.178156;0.20455;
10214;-62002;-36438;75598;-450;0;480;0.310124;0.138566;0.0131968;
10339;-63787;-36439;77354;-450;0;480;0.290329;0.112173;0;
10456;-65614;-36438;79207;-450;0;450;0.283731;0.138566;0.171558;
10579;-67469;-36433;80972;-420;0;450;0.138566;0.112173;0.224345;
10699;-69234;-36435;82829;-420;0;450;0.230944;0.131968;0.131968;
10821;-70910;-36435;84513;-450;0;420;0.428895;0.145165;0.0197952;
10936;-72646;-36438;86242;-420;0;420;0.283731;0.118771;0.211148;
11058;-74139;-36433;87684;-510;0;450;0.323321;0.0791807;0.118771;
11184;-76253;-36435;89833;-450;0;510;0.158361;0.0923774;0.24414;
11315;-77987;-36435;91601;-420;0;420;0.349715;0.0791807;0.0395903;
11439;-79957;-36437;93545;-480;0;420;0.283731;0.0725823;0.0263936;
11565;-81707;-36435;95280;-450;30;450;0.296927;0.0791807;0.0329919;
11713;-83503;-36440;97126;-480;0;450;0.16496;0.145165;0.178156;
11833;-85871;-36446;99579;-480;0;450;0.376108;0.211148;0.0659839;
11965;-87628;-36449;101338;-480;0;450;0.389305;0.197952;0;
12089;-89416;-36453;103139;-510;0;480;0.356313;0.217747;0.0923774;
12207;-91215;-36457;104960;-480;0;510;0.250739;0.336518;0.105574;
12330;-93405;-36459;107129;-450;0;450;0.217747;0.250739;0.224345;
12447;-95052;-36461;108832;-420;0;420;0.323321;0.296927;-0.0197952;
12565;-96521;-36485;110350;-420;-30;450;0.211148;0.296927;0.085779;
12683;-98269;-36562;112162;-450;0;480;0.303526;0.105574;0.112173;
12803;-100061;-36536;113956;-450;0;420;0.20455;0.0989758;0.171558;
12922;-101752;-36557;115750;-360;0;420;0.303526;0.224345;0.0989758;
13039;-103369;-36542;117441;-450;0;420;0.395903;0.0989758;0.105574;
13159;-105055;-36555;119191;-390;0;450;0.310124;0.20455;0.118771;
13282;-106806;-36550;121008;-390;0;480;0.237542;0.197952;0.0923774;
13399;-108486;-36584;122871;-450;0;480;0.20455;0.310124;0.0725823;
13515;-109765;-37076;124751;-240;-270;510;0.277132;0.44869;-0.0461887;
13637;-110632;-38149;126615;-240;-210;360;0.20455;0.237542;0.184755;
13758;-110985;-38718;127528;-30;0;60;0.0725823;0.277132;0.263936;
13880;-110858;-38661;127415;60;30;-180;-0.112173;-0.125369;0.65324;
14003;-110145;-38429;126514;270;90;-330;-0.626847;-0.151763;1.2273;
14120;-108698;-38106;124728;390;90;-480;-0.184755;-0.105574;0.805003;
14235;-107122;-37650;122669;390;90;-510;-0.323321;-0.0461887;0.772011;
14354;-105677;-37118;120800;360;180;-480;-0.323321;-0.00659839;0.976561;
14470;-104325;-36473;118759;300;180;-510;-0.191353;-0.125369;0.77861;
14586;-103189;-35914;117002;330;150;-480;-0.277132;-0.0659839;0.772011;
14703;-101182;-35598;114709;420;60;-510;-0.158361;-0.0395903;0.73902;
14823;-99723;-35479;113153;420;60;-480;-0.151763;-0.0329919;0.791807;
14948;-98074;-35442;111359;450;0;-480;-0.283731;0.0593855;0.844594;
15068;-95955;-35445;109218;450;0;-420;-0.178156;0;0.73902;
15195;-94445;-35446;107711;450;0;-420;-0.20455;0.0659839;0.706028;
15320;-92319;-35445;105615;450;0;-450;-0.131968;0.00659839;0.85779;
15446;-90675;-35446;104017;420;0;-450;-0.356313;0.0593855;0.910578;
15570;-88939;-35443;102193;450;0;-480;-0.197952;0.0263936;0.712626;
15696;-86827;-35448;100065;480;-30;-480;-0.20455;0.0527871;0.758815;
15821;-84988;-35447;98247;450;0;-450;-0.0395903;0.0659839;0.600453;
15946;-83343;-35441;96647;420;0;-390;-0.303526;0.0659839;0.917176;
16071;-81648;-35446;94933;510;0;-480;-0.296927;0.0593855;0.824799;
16198;-79530;-35445;92785;450;0;-450;-0.145165;0.0923774;0.719224;
16319;-77681;-35447;90944;480;0;-420;-0.171558;0.105574;0.692831;
16443;-75562;-35451;88944;390;0;-390;-0.171558;0.0725823;0.85779;
16560;-74220;-35455;87578;450;0;-450;-0.250739;0.138566;0.897381;
16680;-72462;-35454;85768;450;0;-450;-0.184755;0.118771;0.745618;
16805;-70668;-35453;83960;450;0;-450;-0.237542;0.105574;0.752216;
16931;-68781;-35446;82089;480;0;-420;-0.085779;0.105574;0.785208;
17057;-66737;-35452;80117;420;0;-480;-0.230944;0.0659839;0.910578;
17181;-64994;-35453;78297;450;0;-510;-0.257337;0.0659839;0.884184;
17304;-62869;-35448;76120;450;0;-420;-0.257337;0.0659839;0.706028;
17429;-61635;-35448;74878;450;0;-450;-0.20455;0.0659839;0.719224;
17552;-59501;-35469;72883;420;-30;-390;-0.171558;0.224345;0.758815;
17676;-57683;-36270;71803;330;-300;-90;-0.263936;0.61365;0.290329;
17800;-56487;-38000;72162;300;-480;180;-0.16496;0.475084;0.290329;
17924;-55465;-40098;73150;240;-480;270;-0.112173;0.303526;0.310124;
18048;-54514;-42144;74231;180;-480;270;-0.085779;0.428895;0.237542;
18162;-53574;-44134;75241;240;-480;270;-0.0593855;0.508076;0.158361;
18279;-52559;-46078;76269;210;-480;240;-0.105574;0.435494;0.145165;
18400;-51632;-48138;77351;210;-510;270;-0.0659839;0.461887;0.0923774;
18522;-50744;-50178;78397;210;-510;270;-0.151763;0.402502;0.158361;
18663;-49617;-52525;79658;240;-540;300;-0.0461887;0.415698;0.0791807;
18779;-48633;-54575;80795;240;-510;300;-0.138566;0.389305;0.224345;
18894;-47680;-56957;82194;180;-510;300;-0.0659839;0.422297;0.131968;
