Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
121;-768743;-768743;-768743;0;0;0;0.0395903;0.0395903;0.0395903;
114;-768743;-146847;1060071;0;30;0;0;-0.0593855;0.587257;
115;-768415;-146847;1059743;120;0;-90;-0.310124;0.0329919;0.936971;
120;-767982;-146827;1059117;150;30;-240;-0.415698;-0.0527871;0.923774;
115;-767315;-146700;1058210;180;30;-210;-0.24414;-0.0197952;0.798405;
115;-766794;-146562;1057597;180;60;-270;-0.171558;-0.0725823;0.752216;
119;-765770;-146222;1056209;180;90;-270;-0.230944;-0.0461887;0.772011;
119;-764979;-145888;1055167;180;90;-240;-0.131968;0.0263936;0.805003;
120;-764205;-145613;1054199;150;90;-240;-0.171558;0.0395903;0.870987;
122;-763541;-145363;1053287;150;60;-180;-0.197952;0.0197952;0.950168;
123;-762943;-145180;1052325;120;30;-210;-0.362911;-0.0329919;0.851192;
121;-762220;-144969;1051354;180;60;-240;-0.329919;-0.0329919;0.785208;
123;-761439;-144745;1050329;180;60;-270;-0.250739;-0.0989758;0.77861;
116;-760623;-144499;1049314;210;90;-300;-0.158361;-0.191353;0.805003;
116;-759874;-144196;1048220;150;120;-240;-0.191353;-0.0989758;0.732421;
116;-759126;-143879;1047187;210;90;-300;-0.16496;-0.118771;0.725823;
121;-758491;-143741;1046371;270;60;-240;-0.191353;-0.171558;0.85779;
120;-757969;-143566;1045797;150;60;-240;-0.151763;-0.24414;0.923774;
122;-756984;-143157;1044299;180;90;-270;-0.125369;-0.20455;0.758815;
123;-756304;-142831;1043315;150;90;-210;-0.158361;-0.131968;0.8182;
120;-755890;-142641;1042695;120;120;-240;-0.211148;-0.237542;0.811602;
119;-754986;-142191;1041364;120;120;-270;-0.277132;-0.171558;0.877586;
114;-754718;-142029;1040890;120;90;-240;-0.343116;-0.171558;0.897381;
117;-754038;-141579;1039773;180;90;-240;-0.303526;-0.257337;0.884184;
115;-753324;-141149;1038613;180;90;-270;-0.197952;-0.151763;0.837995;
115;-752774;-140828;1037813;180;60;-210;-0.250739;-0.257337;0.956766;
115;-752181;-140514;1036844;150;120;-270;-0.316723;-0.184755;0.864389;
116;-751884;-140306;1036328;150;90;-270;-0.217747;-0.171558;0.798405;
116;-751053;-139700;1034932;180;120;-300;-0.178156;-0.158361;0.772011;
117;-750378;-139205;1033729;150;120;-210;-0.191353;-0.0923774;0.772011;
122;-749717;-138758;1032661;120;120;-240;-0.224345;-0.0725823;0.772011;
117;-749143;-138467;1031846;210;60;-240;-0.16496;-0.0527871;0.8182;
118;-748474;-138173;1030893;180;90;-300;-0.263936;-0.0461887;0.890782;
118;-747728;-137836;1029853;180;-30;-150;-0.184755;-0.138566;0.877586;
116;-747224;-137577;1029076;90;0;-240;-0.283731;-0.125369;0.785208;
117;-746986;-137384;1028545;120;150;-270;-0.290329;-0.0659839;0.77861;
367;-744815;-136115;1025066;180;90;-300;-0.158361;-0.184755;0.732421;
