Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
122;-512758;-512758;-512758;0;0;0;0.0263936;0.0263936;0.0263936;
115;-512746;122554;287972;0;-30;0;-0.0989758;0.158361;0.501478;
116;-512499;122214;287974;120;-150;0;-0.323321;0.402502;0.415698;
119;-511896;121432;287999;180;-270;30;-0.329919;0.382707;0.277132;
117;-510950;120388;288068;210;-240;0;-0.125369;0.224345;0.329919;
120;-509995;119446;288052;270;-210;0;-0.217747;0.303526;0.475084;
121;-509145;118601;288044;180;-210;0;-0.158361;0.44869;0.481682;
125;-508262;117582;288055;240;-240;0;-0.283731;0.44869;0.435494;
127;-507773;116999;288067;180;-210;0;-0.277132;0.382707;0.277132;
127;-506521;115608;288168;240;-270;60;-0.171558;0.382707;0.217747;
127;-505807;114748;288268;180;-240;60;-0.178156;0.310124;0.138566;
117;-505093;113827;288510;210;-240;30;-0.197952;0.389305;0.20455;
118;-504420;112833;288778;150;-270;60;-0.250739;0.283731;0.270534;
117;-503693;111794;289150;180;-270;120;-0.237542;0.329919;0.389305;
119;-503035;110804;289469;150;-240;90;-0.158361;0.382707;0.0725823;
116;-502502;109972;289795;210;-240;120;-0.250739;0.389305;0.310124;
118;-501785;108779;290276;180;-240;90;-0.197952;0.336518;0.250739;
120;-501420;108103;290614;90;-240;180;-0.158361;0.395903;0.303526;
124;-500813;106878;291190;180;-300;120;-0.224345;0.415698;0.257337;
129;-500193;105629;291794;120;-300;150;-0.296927;0.4091;0.263936;
120;-499670;104518;292311;180;-300;150;-0.230944;0.270534;0.224345;
118;-499097;103477;292859;150;-240;180;-0.151763;0.376108;0.230944;
121;-498584;102470;293383;150;-240;150;-0.112173;0.442092;0.211148;
116;-498098;101439;293961;150;-300;150;-0.085779;0.362911;0.138566;
117;-497638;100379;294581;120;-240;150;-0.0593855;0.389305;0.20455;
114;-497240;99341;295255;90;-270;180;0.0263936;0.356313;0.0989758;
139;-496949;98451;295831;90;-270;150;-0.0395903;0.296927;0.237542;
133;-496574;97212;296641;90;-240;180;-0.0659839;0.277132;0.197952;
138;-496215;96100;297397;0;-210;210;-0.085779;0.389305;0.197952;
123;-495974;95024;298286;0;-210;180;-0.118771;0.343116;0.118771;
114;-495716;93982;299118;30;-180;180;-0.0659839;0.455289;0.197952;
114;-495488;93297;299504;30;-120;30;0.0461887;0.131968;0.237542;
115;-495483;93230;299456;0;30;-30;0.0263936;0.0461887;0.44869;
125;-495483;93231;299455;0;0;0;0.0263936;0.0527871;0.468486;
122;-495483;93231;299455;0;0;0;0.0395903;0.0593855;0.468486;
122;-495483;93231;299455;0;0;0;0.0329919;0.0593855;0.468486;
122;-495483;93231;299455;0;0;0;0.0263936;0.0527871;0.461887;
134;-495483;93231;299455;0;0;0;0.0461887;0.0527871;0.461887;
116;-495483;93231;299455;0;0;0;0.0395903;0.0461887;0.475084;
133;-495483;93231;299455;0;0;0;0.0329919;0.0659839;0.475084;
124;-495483;93231;299455;0;0;0;0.0329919;0.0593855;0.461887;
124;-495483;93231;299455;0;0;0;0.0329919;0.0527871;0.475084;
299;-495483;93231;299455;0;0;0;0.0263936;0.0527871;0.461887;
