Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
117;-323557;-323557;-323557;0;0;0;0.00659839;0.00659839;0.00659839;
232;-323531;-24067;327128;60;0;0;-0.0461887;0.184755;0.501478;
348;-323203;-24411;327143;150;-240;0;-0.461887;0.785208;0.178156;
475;-322227;-26069;327632;300;-510;210;-0.323321;0.633445;0.237542;
596;-320841;-28312;328498;360;-630;270;-0.085779;0.389305;0.376108;
715;-319530;-30499;329351;300;-510;180;-0.0791807;0.316723;0.197952;
838;-318261;-32470;330092;330;-480;180;-0.178156;0.422297;0.270534;
977;-317158;-34440;330909;330;-510;150;-0.283731;0.362911;0.263936;
1118;-315759;-36712;331773;330;-480;210;-0.211148;0.329919;0.343116;
1242;-314060;-39415;332815;300;-480;180;-0.171558;0.382707;0.270534;
1357;-313459;-40423;333204;300;-510;210;-0.250739;0.402502;0.197952;
1481;-311801;-43066;334214;300;-540;210;-0.118771;0.481682;0.171558;
1601;-310591;-45139;334991;300;-570;240;-0.197952;0.303526;0.277132;
1729;-309399;-47140;335831;240;-450;210;-0.277132;0.488281;0.230944;
1856;-308340;-49042;336676;240;-510;240;-0.323321;0.593855;0.237542;
1983;-306914;-51479;337658;330;-540;240;-0.257337;0.323321;0.290329;
2108;-305654;-53581;338462;300;-510;180;-0.237542;0.382707;0.230944;
2234;-304356;-55580;339296;300;-510;210;-0.105574;0.501478;0.290329;
2361;-303003;-57934;340301;300;-510;240;-0.217747;0.415698;0.415698;
2483;-301834;-60016;341094;270;-510;240;-0.20455;0.435494;0.191353;
2600;-300600;-62049;341864;330;-480;240;-0.145165;0.475084;0.138566;
2717;-299288;-64077;342697;330;-510;180;-0.20455;0.521273;0.257337;
2840;-298361;-65725;343422;240;-480;210;-0.237542;0.382707;0.316723;
2966;-297050;-68087;344404;300;-510;180;-0.224345;0.494879;0.197952;
3093;-295854;-70075;345202;360;-510;150;-0.0725823;0.415698;0.184755;
3210;-294438;-72424;346132;270;-510;210;-0.197952;0.362911;0.085779;
3328;-293554;-74058;346871;300;-510;240;-0.197952;0.501478;0.224345;
3450;-292449;-76085;347775;270;-540;270;-0.257337;0.481682;0.257337;
3572;-291316;-78103;348680;330;-540;210;-0.191353;0.442092;0.296927;
3694;-289912;-80437;349636;300;-480;180;-0.24414;0.4091;0.283731;
3820;-288613;-82398;350280;330;-450;180;-0.105574;0.428895;0.211148;
3948;-287136;-84391;350802;330;-450;30;-0.270534;0.197952;0.415698;
