Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
134;83883;83883;83883;0;0;0;0.0329919;0.0329919;0.0329919;
122;83851;-115670;15751;-60;0;30;0.270534;-0.197952;0.402502;
116;83367;-115440;15811;-120;150;0;0.44869;-0.527871;0.402502;
141;82636;-114719;15890;-240;240;0;0.349715;-0.277132;0.296927;
118;81649;-113832;15932;-270;240;0;0.290329;-0.250739;0.237542;
117;80837;-113107;15934;-270;180;-30;0.217747;-0.310124;0.4091;
115;79615;-111962;15909;-210;210;0;0.158361;-0.296927;0.455289;
118;78893;-111278;15904;-210;210;0;0.224345;-0.197952;0.455289;
117;77963;-110317;15911;-270;240;0;0.184755;-0.0989758;0.336518;
118;77047;-109484;15920;-150;180;0;0.237542;-0.171558;0.290329;
118;76342;-108840;15961;-180;210;0;0.270534;-0.211148;0.310124;
115;75611;-108242;16050;-240;150;60;0.257337;-0.20455;0.211148;
117;74550;-107411;16256;-210;180;60;0.263936;-0.257337;0.310124;
121;73602;-106635;16457;-240;150;60;0.250739;-0.277132;0.224345;
114;72708;-105885;16633;-270;150;60;0.310124;-0.270534;0.158361;
117;71816;-105160;16792;-180;210;60;0.263936;-0.270534;0.303526;
116;71072;-104512;16887;-210;210;0;0.20455;-0.191353;0.290329;
121;69974;-103603;16959;-210;150;0;0.0989758;-0.250739;0.389305;
130;69092;-102709;16979;-180;210;0;0.20455;-0.112173;0.475084;
117;68260;-101876;16955;-210;150;-30;0.211148;-0.24414;0.4091;
126;67380;-101134;16954;-240;150;0;0.230944;-0.250739;0.44869;
126;66569;-100401;16965;-210;150;0;0.270534;-0.329919;0.389305;
120;65620;-99536;16957;-180;180;0;0.211148;-0.20455;0.44869;
115;64975;-98836;16959;-210;210;-30;0.224345;-0.237542;0.461887;
124;64070;-97960;16954;-240;270;0;0.211148;-0.197952;0.461887;
133;63061;-96987;16947;-150;240;0;0.250739;-0.197952;0.475084;
118;61990;-95983;16955;-240;240;0;0.171558;-0.237542;0.461887;
117;61228;-95244;16963;-240;210;30;0.191353;-0.125369;0.422297;
115;60331;-94315;16966;-210;180;0;0.224345;-0.125369;0.422297;
117;59465;-93414;16945;-240;240;0;0.224345;-0.171558;0.461887;
118;58729;-92692;16946;-210;210;0;0.197952;-0.283731;0.494879;
119;57725;-91848;16963;-210;180;0;0.20455;-0.376108;0.4091;
117;56935;-90979;16960;-210;240;0;0.303526;-0.184755;0.461887;
122;56226;-90186;16956;-270;270;0;0.217747;-0.24414;0.481682;
124;55300;-89295;16939;-210;210;0;0.257337;-0.184755;0.435494;
118;54226;-88283;16943;-240;240;0;0.20455;-0.277132;0.475084;
124;53381;-87490;16942;-270;240;0;0.151763;-0.151763;0.422297;
126;52488;-86528;16943;-210;240;0;0.277132;-0.197952;0.44869;
125;51461;-85515;16941;-210;210;0;0.20455;-0.151763;0.475084;
119;50631;-84728;16944;-180;180;0;0.230944;-0.191353;0.455289;
117;49808;-83928;16943;-180;210;-30;0.237542;-0.316723;0.514674;
121;48959;-83069;16944;-210;240;0;0.250739;-0.277132;0.475084;
121;47986;-81990;16942;-240;240;0;0.24414;-0.211148;0.461887;
115;47244;-81254;16940;-240;240;-30;0.237542;-0.171558;0.527871;
117;46314;-80294;16939;-210;240;0;0.197952;-0.191353;0.514674;
123;45355;-79368;16940;-240;180;0;0.131968;-0.191353;0.481682;
156;44261;-78125;16925;-240;180;0;0.230944;-0.151763;0.468486;
172;43106;-76944;16918;-180;210;0;0.277132;-0.197952;0.468486;
119;42265;-76137;16919;-240;180;0;0.290329;-0.356313;0.468486;
116;41399;-75370;16925;-210;150;0;0.224345;-0.277132;0.481682;
122;40596;-74498;16925;-180;240;-30;0.250739;-0.197952;0.501478;
115;39854;-73741;16926;30;30;0;0.0395903;-0.085779;0.475084;
298;39876;-73677;16937;0;0;0;0.0263936;0.0461887;0.468486;
